sub_sentence	context
Maybe I’ll play—but Rosalind was the only girl in the wide world that could have held me.”	If I thought there’d be another I’d lose my remaining faith in human nature. Maybe I’ll play—but Rosalind was the only girl in the wide world that could have held me.” “Well,” yawned Tom, “I’ve played confidant a good hour by the clock.
Thou art the best o' the cut-throats: yet he's good That did the like for Fleance:	Thou art the best o' the cut-throats: yet he's good That did the like for Fleance: if thou didst it, Thou art the nonpareil.
From the Country Club steps the roads stretched away, dark creases on the white blanket; huge heaps of snow lining the sides like the tracks of giant moles.	Overhead the sky was half crystalline, half misty, and the night around was chill and vibrant with rich tension. From the Country Club steps the roads stretched away, dark creases on the white blanket; huge heaps of snow lining the sides like the tracks of giant moles. They lingered for a moment on the steps, and watched the white holiday moon.
I hope we have reformed that indifferently with us, sir.	I hope we have reformed that indifferently with us, sir.
They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.
Ay, my lord, and of calf-skins too.	Ay, my lord, and of calf-skins too.
Quite conceivably it was an empty ritual but it was seemingly the only assimilative, traditionary bulwark against the decay of morals.	The idea was strong in him that there was a certain intrinsic lack in those to whom orthodox religion was necessary, and religion to Amory meant the Church of Rome. Quite conceivably it was an empty ritual but it was seemingly the only assimilative, traditionary bulwark against the decay of morals. Until the great mobs could be educated into a moral sense someone must cry: “Thou shalt not!”
By the pricking of my thumbs, Something wicked this way comes.	By the pricking of my thumbs, Something wicked this way comes. Open, locks, Whoever knocks!
What, quite unmann'd in folly?	What, quite unmann'd in folly?
I'll see no more: And yet the eighth appears, who bears a glass Which shows me many more; and some I see That two-fold balls and treble scepters carry: Horrible sight!	A seventh! I'll see no more: And yet the eighth appears, who bears a glass Which shows me many more; and some I see That two-fold balls and treble scepters carry: Horrible sight! Now, I see, 'tis true; For the blood-bolter'd Banquo smiles upon me, And points at them for his.
It was a mumbling of men’s voices and a repeated muffled rapping.	Then his ears caught a louder sound from somewhere along the corridor outside. It was a mumbling of men’s voices and a repeated muffled rapping. Amory threw off the blankets and moved close to the bathroom door.
Madam, how like you this play?	Madam, how like you this play?
O gentle lady, 'Tis not for you to hear what I can speak: The repetition, in a woman's ear, Would murder as it fell.	O gentle lady, 'Tis not for you to hear what I can speak: The repetition, in a woman's ear, Would murder as it fell. O Banquo, Banquo, Our royal master 's murder'd!
“But who, O, who had seen the mobled queen—”	“But who, O, who had seen the mobled queen—”
