ORIGINAL	CONTEXT	TRANSLATED

this terrifying place	“My nerves are on edge—on edge. We must leave this terrifying place tomorrow and go searching for sunshine.” Amory’s penetrating green eyes would look out through tangled hair at his mother.	this scary place

tangled hair	We must leave this terrifying place tomorrow and go searching for sunshine.” Amory’s penetrating green eyes would look out through tangled hair at his mother. Even at this age he had no illusions about her.	messy hair

had no illusions about her.	Amory’s penetrating green eyes would look out through tangled hair at his mother. Even at this age he had no illusions about her. “Amory.”	He knew what she was like.

talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven.	You can read in the tub if you wish.” She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven. One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy.	talk easily, though in a way that sounded like he was just repeating what he'd heard, about Brahms, Mozart, and Beethoven.

the Fêtes Galantes	You can read in the tub if you wish.” She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven. One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy.	Elegant entertainments.

sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy.	She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven. One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy. This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction.	tried his mother's apricot drink, and because he liked the taste, he got drunk.

a vulgar, plebeian reaction	One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy. This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction. Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”	a common, unpleasant reaction

essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction.	One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy. This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction. Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”	tried to smoke a cigarette while feeling high, but then had a nasty, common reaction.

part of what in a later generation would have been termed her “line.”	This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction. Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.” “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.”	part of her "routine" or "act."

son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.”	Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.” “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial.	"My son," he overheard her saying to a room full of impressed and admiring women, "is very worldly and quite delightful—but sensitive—we're all sensitive; you understand."

sinking her voice to a whisper, she told them of the apricot cordial.	“This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.	lowering her voice, she told them about the apricot cordial.

her beautiful bosom	“This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.	her beautiful chest

rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.	were happy because she was a great storyteller, but many people locked up their liquor cabinets that night to prevent Bobby or Barbara from sneaking a drink.

the possible defection	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.	the possibility of sneaking off

a brave raconteuse	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.	a skilled storyteller

sideboard locks	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.	locked sideboards

These domestic pilgrimages	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.	These trips to their homes

car, or Mr. Blaine when available, and very often a physician.	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.	the car, or Mr. Blaine if he was free, and usually a doctor.

two maids	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.	two maids

scarlet fever	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through.	scarlet fever

totalled fourteen.	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through.	Came to fourteen in all.

the whooping-cough four disgusted specialists	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through.	four annoyed specialists for whooping cough

serve in place of friends, and an enviable standing from Pasadena to Cape Cod.	The Blaines were attached to no city. They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals.	act like friends, and were well-respected everywhere from Pasadena to Cape Cod.

an enviable standing	The Blaines were attached to no city. They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals.	a respected position

grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals.	They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals. Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves.	started preferring new people because she needed to tell certain stories regularly, like the story of her health and her travels.

only new acquaintances	They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals. Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves.	only new people

Freudian dreams	But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals. Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves. But Beatrice was critical about American women, especially the floating population of ex-Westerners.	Like dreams that Freud would analyze.

lay siege to her nerves.	But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals. Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves. But Beatrice was critical about American women, especially the floating population of ex-Westerners.	overwhelm her and make her anxious.

critical about American women, especially the floating population of ex-Westerners.	Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves. But Beatrice was critical about American women, especially the floating population of ex-Westerners. “They have accents, my dear,” she told Amory, “not Southern accents or Boston accents, not an accent attached to any locality, just an accent”—she became dreamy.	judgmental of American women, particularly those drifters who used to live out West.

attached to any locality, just an accent”—she became dreamy.	But Beatrice was critical about American women, especially the floating population of ex-Westerners. “They have accents, my dear,” she told Amory, “not Southern accents or Boston accents, not an accent attached to any locality, just an accent”—she became dreamy. “They pick up old, moth-eaten London accents that are down on their luck and have to be used by someone.	connected to any specific place, just a strange accent"—she started daydreaming.

just an accent”—she	But Beatrice was critical about American women, especially the floating population of ex-Westerners. “They have accents, my dear,” she told Amory, “not Southern accents or Boston accents, not an accent attached to any locality, just an accent”—she became dreamy. “They pick up old, moth-eaten London accents that are down on their luck and have to be used by someone.	just an accent

old, moth-eaten London accents	“They have accents, my dear,” she told Amory, “not Southern accents or Boston accents, not an accent attached to any locality, just an accent”—she became dreamy. “They pick up old, moth-eaten London accents that are down on their luck and have to be used by someone. They talk as an English butler might after several years in a Chicago grand-opera company.”	old, worn-out London accents

down on their luck and have to be used by someone.	“They have accents, my dear,” she told Amory, “not Southern accents or Boston accents, not an accent attached to any locality, just an accent”—she became dreamy. “They pick up old, moth-eaten London accents that are down on their luck and have to be used by someone. They talk as an English butler might after several years in a Chicago grand-opera company.”	unlucky and needing someone to use them.

after several years in a Chicago grand-opera company.”	“They pick up old, moth-eaten London accents that are down on their luck and have to be used by someone. They talk as an English butler might after several years in a Chicago grand-opera company.” She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life.	after working for years at a Chicago opera.

time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life.	They talk as an English butler might after several years in a Chicago grand-opera company.” She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life. She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude.	there comes a point when a Western woman feels her husband is rich enough for her to get an accent, and they try to impress me, dear. She thought her body was weak, but her soul was just as troubled and important.

every Western woman’s life	They talk as an English butler might after several years in a Chicago grand-opera company.” She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life. She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude.	every Western woman's life

an enchantingly wavering attitude	She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life. She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome.	a charmingly indecisive stance

process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude.	She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life. She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome.	losing or finding her faith in the Catholic Church, she acted in a charmingly indecisive way.

lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome.	She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome. Still, next to doctors, priests were her favorite sport.	lived near Europe's grand cathedrals, she'd still be a devout Catholic.

the American Catholic clergy	She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome. Still, next to doctors, priests were her favorite sport.	American Catholic priests

the bourgeois quality	She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome. Still, next to doctors, priests were her favorite sport.	the middle-class ordinariness

the mighty altar	She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome. Still, next to doctors, priests were her favorite sport.	the grand altar

the clergyman—“but my mood	“Ah, Bishop Wiston,” she would declare, “I do not want to talk of myself. I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.” Only to bishops and above did she divulge her clerical romance.	—is—oddly dissimilar.”

imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.”	“Ah, Bishop Wiston,” she would declare, “I do not want to talk of myself. I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.” Only to bishops and above did she divulge her clerical romance.	I can imagine all the frantic women swarming your office, begging you for sympathy"—then after a pause while the clergyman spoke—"but my mood is quite different."

hysterical women	“Ah, Bishop Wiston,” she would declare, “I do not want to talk of myself. I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.” Only to bishops and above did she divulge her clerical romance.	overly emotional women

her clerical romance	I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.” Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness.	her love affair with a clergyman

divulge her clerical romance.	I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.” Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness.	reveal her romance with a clergyman.

a decided penchant	Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.	a strong liking

whose passionate kisses	Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.	whose ardent kisses

Swinburnian young man	Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.	A young man like Swinburne

unsentimental conversations	Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.	conversations without excessive emotion

an intellectual romancing	Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.	intellectual flirting

discussed the matter pro and con with an intellectual romancing quite devoid of sappiness.	Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.	talked about it intellectually and romantically without being overly sentimental.

gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.	When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy. “Indeed, Mrs. Blaine, he is still delightful company—quite the cardinal’s right-hand man.”	had a spiritual crisis, became a Catholic, and was now a Monsignor Darcy.

the young pagan	When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy. “Indeed, Mrs. Blaine, he is still delightful company—quite the cardinal’s right-hand man.”	the young non-religious man

company—quite the cardinal’s right-hand man.”	Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy. “Indeed, Mrs. Blaine, he is still delightful company—quite the cardinal’s right-hand man.” “Amory will go to him one day, I know,” breathed the beautiful lady, “and Monsignor Darcy will understand him as he understood me.”	company—practically the cardinal's most important assistant.”

delightful company	Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy. “Indeed, Mrs. Blaine, he is still delightful company—quite the cardinal’s right-hand man.” “Amory will go to him one day, I know,” breathed the beautiful lady, “and Monsignor Darcy will understand him as he understood me.”	fun to be around

quite the cardinal’s right-hand man	Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy. “Indeed, Mrs. Blaine, he is still delightful company—quite the cardinal’s right-hand man.” “Amory will go to him one day, I know,” breathed the beautiful lady, “and Monsignor Darcy will understand him as he understood me.”	a very important assistant to the cardinal

go to him one day, I know,” breathed the beautiful lady, “and Monsignor Darcy will understand him as he understood me.”	“Indeed, Mrs. Blaine, he is still delightful company—quite the cardinal’s right-hand man.” “Amory will go to him one day, I know,” breathed the beautiful lady, “and Monsignor Darcy will understand him as he understood me.” Amory became thirteen, rather tall and slender, and more than ever on to his Celtic mother.	I know he'll go to him someday," the beautiful lady said softly, "and Monsignor Darcy will understand him the way he understood me.

more than ever on to his Celtic mother.	“Amory will go to him one day, I know,” breathed the beautiful lady, “and Monsignor Darcy will understand him as he understood me.” Amory became thirteen, rather tall and slender, and more than ever on to his Celtic mother. He had tutored occasionally—the idea being that he was to “keep up,” at each place “taking up the work where he left off,” yet as no tutor ever found the place he left off, his mind was still in very good shape.	resembling his Celtic mother more than ever.

idea being that he was to “keep up,” at each place “taking up the work where he left off,” yet as no tutor ever found the place he left off, his mind was still in very good shape.	Amory became thirteen, rather tall and slender, and more than ever on to his Celtic mother. He had tutored occasionally—the idea being that he was to “keep up,” at each place “taking up the work where he left off,” yet as no tutor ever found the place he left off, his mind was still in very good shape. What a few more years of this life would have made of him is problematical.	The plan was for him to stay on track with his studies, picking up where he supposedly left off each time, but since no tutor could ever figure out where that was, his mind remained sharp.

made of him is problematical.	He had tutored occasionally—the idea being that he was to “keep up,” at each place “taking up the work where he left off,” yet as no tutor ever found the place he left off, his mind was still in very good shape. What a few more years of this life would have made of him is problematical. However, four hours out from land, Italy bound, with Beatrice, his appendix burst, probably from too many meals in bed, and after a series of frantic telegrams to Europe and America, to the amazement of the passengers the great ship slowly wheeled around and returned to New York to deposit Amory at the pier.	what he would become is uncertain.

passengers the great ship slowly wheeled around and returned to New York to deposit Amory at the pier.	What a few more years of this life would have made of him is problematical. However, four hours out from land, Italy bound, with Beatrice, his appendix burst, probably from too many meals in bed, and after a series of frantic telegrams to Europe and America, to the amazement of the passengers the great ship slowly wheeled around and returned to New York to deposit Amory at the pier. You will admit that if it was not life it was magnificent.	the ship turned around and went back to New York to drop Amory off at the dock, which surprised the passengers.

frantic telegrams	What a few more years of this life would have made of him is problematical. However, four hours out from land, Italy bound, with Beatrice, his appendix burst, probably from too many meals in bed, and after a series of frantic telegrams to Europe and America, to the amazement of the passengers the great ship slowly wheeled around and returned to New York to deposit Amory at the pier. You will admit that if it was not life it was magnificent.	desperate telegrams

resemblance to delirium tremens, and Amory was left in Minneapolis, destined to spend the ensuing two years with his aunt and uncle.	You will admit that if it was not life it was magnificent. After the operation Beatrice had a nervous breakdown that bore a suspicious resemblance to delirium tremens, and Amory was left in Minneapolis, destined to spend the ensuing two years with his aunt and uncle. There the crude, vulgar air of Western civilization first catches him—in his underwear, so to speak.	looked a lot like withdrawal, and Amory was left in Minneapolis, where he was going to live with his aunt and uncle for the next two years.

the ensuing two years	You will admit that if it was not life it was magnificent. After the operation Beatrice had a nervous breakdown that bore a suspicious resemblance to delirium tremens, and Amory was left in Minneapolis, destined to spend the ensuing two years with his aunt and uncle. There the crude, vulgar air of Western civilization first catches him—in his underwear, so to speak.	the next two years

a suspicious resemblance	You will admit that if it was not life it was magnificent. After the operation Beatrice had a nervous breakdown that bore a suspicious resemblance to delirium tremens, and Amory was left in Minneapolis, destined to spend the ensuing two years with his aunt and uncle. There the crude, vulgar air of Western civilization first catches him—in his underwear, so to speak.	looked a lot like

delirium tremens	You will admit that if it was not life it was magnificent. After the operation Beatrice had a nervous breakdown that bore a suspicious resemblance to delirium tremens, and Amory was left in Minneapolis, destined to spend the ensuing two years with his aunt and uncle. There the crude, vulgar air of Western civilization first catches him—in his underwear, so to speak.	withdrawal symptoms from alcohol

the crude, vulgar air	After the operation Beatrice had a nervous breakdown that bore a suspicious resemblance to delirium tremens, and Amory was left in Minneapolis, destined to spend the ensuing two years with his aunt and uncle. There the crude, vulgar air of Western civilization first catches him—in his underwear, so to speak.	the raw, unrefined atmosphere

curled when he read it.	His lip curled when he read it. “I am going to have a bobbing party,” it said, “on Thursday, December the seventeenth, at five o’clock, and I would like it very much if you could come.	curled when he read it.

five o’clock	His lip curled when he read it. “I am going to have a bobbing party,” it said, “on Thursday, December the seventeenth, at five o’clock, and I would like it very much if you could come. Yours truly, Myra St. Claire.”	5 PM

said, “on Thursday, December the seventeenth, at five o’clock, and I would like it very much if you could come.	His lip curled when he read it. “I am going to have a bobbing party,” it said, “on Thursday, December the seventeenth, at five o’clock, and I would like it very much if you could come. Yours truly, Myra St. Claire.”	said, "on Thursday, December 17th, at 5:00, and I'd really like you to come.

Yours truly, Myra St. Claire	“I am going to have a bobbing party,” it said, “on Thursday, December the seventeenth, at five o’clock, and I would like it very much if you could come. Yours truly, Myra St. Claire.” He had been two months in Minneapolis, and his chief struggle had been the concealing from “the other guys at school” how particularly superior he felt himself to be, yet this conviction was built upon shifting sands.	Sincerely, Myra St. Claire

guys at school” how particularly superior he felt himself to be, yet this conviction was built upon shifting sands.	Yours truly, Myra St. Claire.” He had been two months in Minneapolis, and his chief struggle had been the concealing from “the other guys at school” how particularly superior he felt himself to be, yet this conviction was built upon shifting sands. He had shown off one day in French class (he was in senior French class) to the utter confusion of Mr. Reardon, whose accent Amory damned contemptuously, and to the delight of the class.	the other guys at school" how much better he thought he was than them, but this belief wasn't very solid.

confusion of Mr. Reardon, whose accent Amory damned contemptuously, and to the delight of the class.	He had been two months in Minneapolis, and his chief struggle had been the concealing from “the other guys at school” how particularly superior he felt himself to be, yet this conviction was built upon shifting sands. He had shown off one day in French class (he was in senior French class) to the utter confusion of Mr. Reardon, whose accent Amory damned contemptuously, and to the delight of the class. Mr. Reardon, who had spent several weeks in Paris ten years before, took his revenge on the verbs, whenever he had his book open.	confusing Mr. Reardon, whose accent Amory criticized harshly, which pleased the class.

