sub_sentence	context	target_sentence
how cross'd	Well then, now Have you consider'd of my speeches? Know That it was he in the times past which held you So under fortune, which you thought had been Our innocent self: this I made good to you In our last conference, pass'd in probation with you, How you were borne in hand, how cross'd, the instruments, Who wrought with them, and all things else that might To half a soul and to a notion crazed Say 'Thus did Banquo.'	Know That it was he in the times past which held you So under fortune, which you thought had been Our innocent self: this I made good to you In our last conference, pass'd in probation with you, How you were borne in hand, how cross'd, the instruments, Who wrought with them, and all things else that might To half a soul and to a notion crazed Say 'Thus did Banquo.'
patience so predominant in your nature That you can let this go?	I did so, and went further, which is now Our point of second meeting. Do you find Your patience so predominant in your nature That you can let this go? Are you so gospell'd	Do you find Your patience so predominant in your nature That you can let this go?
pray for this good man and for his issue, Whose heavy hand hath bow'd you to the grave And beggar'd yours for ever?	Are you so gospell'd To pray for this good man and for his issue, Whose heavy hand hath bow'd you to the grave And beggar'd yours for ever?	To pray for this good man and for his issue, Whose heavy hand hath bow'd you to the grave And beggar'd yours for ever?
men, my liege.	We are men, my liege.	We are men, my liege.
which bounteous nature	Ay, in the catalogue ye go for men; As hounds and greyhounds, mongrels, spaniels, curs, Shoughs, water-rugs and demi-wolves, are clept All by the name of dogs: the valued file Distinguishes the swift, the slow, the subtle, The housekeeper, the hunter, every one According to the gift which bounteous nature Hath in him closed; whereby he does receive Particular addition. from the bill That writes them all alike: and so of men.	Ay, in the catalogue ye go for men; As hounds and greyhounds, mongrels, spaniels, curs, Shoughs, water-rugs and demi-wolves, are clept All by the name of dogs: the valued file Distinguishes the swift, the slow, the subtle, The housekeeper, the hunter, every one According to the gift which bounteous nature Hath in him closed; whereby he does receive Particular addition.
go for men; As hounds and greyhounds, mongrels, spaniels, curs, Shoughs, water-rugs and demi-wolves, are clept All by the name of dogs: the valued file Distinguishes the swift, the slow, the subtle, The housekeeper, the hunter, every one According to the gift which bounteous nature Hath in him closed; whereby he does receive Particular addition.	Ay, in the catalogue ye go for men; As hounds and greyhounds, mongrels, spaniels, curs, Shoughs, water-rugs and demi-wolves, are clept All by the name of dogs: the valued file Distinguishes the swift, the slow, the subtle, The housekeeper, the hunter, every one According to the gift which bounteous nature Hath in him closed; whereby he does receive Particular addition. from the bill That writes them all alike: and so of men.	Ay, in the catalogue ye go for men; As hounds and greyhounds, mongrels, spaniels, curs, Shoughs, water-rugs and demi-wolves, are clept All by the name of dogs: the valued file Distinguishes the swift, the slow, the subtle, The housekeeper, the hunter, every one According to the gift which bounteous nature Hath in him closed; whereby he does receive Particular addition.
Not i' the worst rank	from the bill That writes them all alike: and so of men. Now, if you have a station in the file, Not i' the worst rank of manhood, say 't; And I will put that business in your bosoms, Whose execution takes your enemy off, Grapples you to the heart and love of us, Who wear our health but sickly in his life, Which in his death were perfect.	Now, if you have a station in the file, Not i' the worst rank of manhood, say 't; And I will put that business in your bosoms, Whose execution takes your enemy off, Grapples you to the heart and love of us, Who wear our health but sickly in his life, Which in his death were perfect.
put that business in your bosoms, Whose execution takes your enemy off, Grapples you to the heart and love of us, Who wear our health but sickly in his life, Which in his death were perfect.	from the bill That writes them all alike: and so of men. Now, if you have a station in the file, Not i' the worst rank of manhood, say 't; And I will put that business in your bosoms, Whose execution takes your enemy off, Grapples you to the heart and love of us, Who wear our health but sickly in his life, Which in his death were perfect.	Now, if you have a station in the file, Not i' the worst rank of manhood, say 't; And I will put that business in your bosoms, Whose execution takes your enemy off, Grapples you to the heart and love of us, Who wear our health but sickly in his life, Which in his death were perfect.
blows and buffets of the world Have so incensed that I am reckless what I do to spite the world.	I am one, my liege, Whom the vile blows and buffets of the world Have so incensed that I am reckless what I do to spite the world.	I am one, my liege, Whom the vile blows and buffets of the world Have so incensed that I am reckless what I do to spite the world.
weary with disasters, tugg'd with fortune, That I would set my lie on any chance, To mend it, or be rid on't.	And I another So weary with disasters, tugg'd with fortune, That I would set my lie on any chance, To mend it, or be rid on't.	And I another So weary with disasters, tugg'd with fortune, That I would set my lie on any chance, To mend it, or be rid on't.
Both of you Know Banquo was your enemy.	Both of you Know Banquo was your enemy.	Both of you Know Banquo was your enemy.
barefaced power	So is he mine; and in such bloody distance, That every minute of his being thrusts Against my near'st of life: and though I could With barefaced power sweep him from my sight And bid my will avouch it, yet I must not, For certain friends that are both his and mine, Whose loves I may not drop, but wail his fall Who I myself struck down; and thence it is, That I to your assistance do make love, Masking the business from the common eye For sundry weighty reasons.	So is he mine; and in such bloody distance, That every minute of his being thrusts Against my near'st of life: and though I could With barefaced power sweep him from my sight And bid my will avouch it, yet I must not, For certain friends that are both his and mine, Whose loves I may not drop, but wail his fall Who I myself struck down; and thence it is, That I to your assistance do make love, Masking the business from the common eye For sundry weighty reasons.
sweep him from my sight And bid my will avouch it, yet I must not, For certain friends that are both his and mine, Whose loves I may not drop, but wail his fall Who I myself struck down; and thence it is, That I to your assistance do make love, Masking the business from the common eye For sundry weighty reasons.	So is he mine; and in such bloody distance, That every minute of his being thrusts Against my near'st of life: and though I could With barefaced power sweep him from my sight And bid my will avouch it, yet I must not, For certain friends that are both his and mine, Whose loves I may not drop, but wail his fall Who I myself struck down; and thence it is, That I to your assistance do make love, Masking the business from the common eye For sundry weighty reasons.	So is he mine; and in such bloody distance, That every minute of his being thrusts Against my near'st of life: and though I could With barefaced power sweep him from my sight And bid my will avouch it, yet I must not, For certain friends that are both his and mine, Whose loves I may not drop, but wail his fall Who I myself struck down; and thence it is, That I to your assistance do make love, Masking the business from the common eye For sundry weighty reasons.
his being thrusts	So is he mine; and in such bloody distance, That every minute of his being thrusts Against my near'st of life: and though I could With barefaced power sweep him from my sight And bid my will avouch it, yet I must not, For certain friends that are both his and mine, Whose loves I may not drop, but wail his fall Who I myself struck down; and thence it is, That I to your assistance do make love, Masking the business from the common eye For sundry weighty reasons.	So is he mine; and in such bloody distance, That every minute of his being thrusts Against my near'st of life: and though I could With barefaced power sweep him from my sight And bid my will avouch it, yet I must not, For certain friends that are both his and mine, Whose loves I may not drop, but wail his fall Who I myself struck down; and thence it is, That I to your assistance do make love, Masking the business from the common eye For sundry weighty reasons.
sundry weighty reasons	So is he mine; and in such bloody distance, That every minute of his being thrusts Against my near'st of life: and though I could With barefaced power sweep him from my sight And bid my will avouch it, yet I must not, For certain friends that are both his and mine, Whose loves I may not drop, but wail his fall Who I myself struck down; and thence it is, That I to your assistance do make love, Masking the business from the common eye For sundry weighty reasons.	So is he mine; and in such bloody distance, That every minute of his being thrusts Against my near'st of life: and though I could With barefaced power sweep him from my sight And bid my will avouch it, yet I must not, For certain friends that are both his and mine, Whose loves I may not drop, but wail his fall Who I myself struck down; and thence it is, That I to your assistance do make love, Masking the business from the common eye For sundry weighty reasons.
is no less material to me	Your spirits shine through you. Within this hour at most I will advise you where to plant yourselves; Acquaint you with the perfect spy o' the time, The moment on't; for't must be done to-night, And something from the palace; always thought That I require a clearness: and with him— To leave no rubs nor botches in the work— Fleance his son, that keeps him company, Whose absence is no less material to me Than is his father's, must embrace the fate Of that dark hour.	Within this hour at most I will advise you where to plant yourselves; Acquaint you with the perfect spy o' the time, The moment on't; for't must be done to-night, And something from the palace; always thought That I require a clearness: and with him— To leave no rubs nor botches in the work— Fleance his son, that keeps him company, Whose absence is no less material to me
fate Of that dark hour.	Within this hour at most I will advise you where to plant yourselves; Acquaint you with the perfect spy o' the time, The moment on't; for't must be done to-night, And something from the palace; always thought That I require a clearness: and with him— To leave no rubs nor botches in the work— Fleance his son, that keeps him company, Whose absence is no less material to me Than is his father's, must embrace the fate Of that dark hour. Resolve yourselves apart: I'll come to you anon.	Than is his father's, must embrace the fate Of that dark hour.
come to you anon.	Than is his father's, must embrace the fate Of that dark hour. Resolve yourselves apart: I'll come to you anon.	Resolve yourselves apart: I'll come to you anon.
call upon you straight: abide within.	I'll call upon you straight: abide within. It is concluded.	I'll call upon you straight: abide within.
thy soul's flight	It is concluded. Banquo, thy soul's flight, If it find heaven, must find it out to-night.	Banquo, thy soul's flight, If it find heaven, must find it out to-night.
spent, Where our desire is got without content: 'Tis safer to be that which we destroy Than by destruction dwell in doubtful joy.	Nought's had, all's spent, Where our desire is got without content: 'Tis safer to be that which we destroy Than by destruction dwell in doubtful joy. How now, my lord!	Nought's had, all's spent, Where our desire is got without content: 'Tis safer to be that which we destroy Than by destruction dwell in doubtful joy.
doubtful joy	Nought's had, all's spent, Where our desire is got without content: 'Tis safer to be that which we destroy Than by destruction dwell in doubtful joy. How now, my lord!	Nought's had, all's spent, Where our desire is got without content: 'Tis safer to be that which we destroy Than by destruction dwell in doubtful joy.
fancies your companions making, Using those thoughts which should indeed have died With them they think on?	How now, my lord! why do you keep alone, Of sorriest fancies your companions making, Using those thoughts which should indeed have died With them they think on? Things without all remedy Should be without regard: what's done is done.	why do you keep alone, Of sorriest fancies your companions making, Using those thoughts which should indeed have died With them they think on?
be without regard: what's done is done.	why do you keep alone, Of sorriest fancies your companions making, Using those thoughts which should indeed have died With them they think on? Things without all remedy Should be without regard: what's done is done.	Things without all remedy Should be without regard: what's done is done.
our poor malice	We have scotch'd the snake, not kill'd it: She'll close and be herself, whilst our poor malice Remains in danger of her former tooth. But let the frame of things disjoint, both the worlds suffer, Ere we will eat our meal in fear and sleep In the affliction of these terrible dreams That shake us nightly: better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy.	We have scotch'd the snake, not kill'd it: She'll close and be herself, whilst our poor malice Remains in danger of her former tooth.
Remains in danger of her former tooth.	We have scotch'd the snake, not kill'd it: She'll close and be herself, whilst our poor malice Remains in danger of her former tooth. But let the frame of things disjoint, both the worlds suffer, Ere we will eat our meal in fear and sleep In the affliction of these terrible dreams That shake us nightly: better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy.	We have scotch'd the snake, not kill'd it: She'll close and be herself, whilst our poor malice Remains in danger of her former tooth.
restless ecstasy	We have scotch'd the snake, not kill'd it: She'll close and be herself, whilst our poor malice Remains in danger of her former tooth. But let the frame of things disjoint, both the worlds suffer, Ere we will eat our meal in fear and sleep In the affliction of these terrible dreams That shake us nightly: better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy. Duncan is in his grave; After life's fitful fever he sleeps well; Treason has done his worst: nor steel, nor poison, Malice domestic, foreign levy, nothing, Can touch him further.	But let the frame of things disjoint, both the worlds suffer, Ere we will eat our meal in fear and sleep In the affliction of these terrible dreams That shake us nightly: better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy.
suffer, Ere we will eat our meal in fear and sleep In the affliction of these terrible dreams That shake us nightly: better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy.	We have scotch'd the snake, not kill'd it: She'll close and be herself, whilst our poor malice Remains in danger of her former tooth. But let the frame of things disjoint, both the worlds suffer, Ere we will eat our meal in fear and sleep In the affliction of these terrible dreams That shake us nightly: better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy. Duncan is in his grave; After life's fitful fever he sleeps well; Treason has done his worst: nor steel, nor poison, Malice domestic, foreign levy, nothing, Can touch him further.	But let the frame of things disjoint, both the worlds suffer, Ere we will eat our meal in fear and sleep In the affliction of these terrible dreams That shake us nightly: better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy.
steel, nor poison, Malice domestic, foreign levy	But let the frame of things disjoint, both the worlds suffer, Ere we will eat our meal in fear and sleep In the affliction of these terrible dreams That shake us nightly: better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy. Duncan is in his grave; After life's fitful fever he sleeps well; Treason has done his worst: nor steel, nor poison, Malice domestic, foreign levy, nothing, Can touch him further.	Duncan is in his grave; After life's fitful fever he sleeps well; Treason has done his worst: nor steel, nor poison, Malice domestic, foreign levy, nothing, Can touch him further.
sleeps well; Treason has done his worst: nor steel, nor poison, Malice domestic, foreign levy, nothing, Can touch him further.	But let the frame of things disjoint, both the worlds suffer, Ere we will eat our meal in fear and sleep In the affliction of these terrible dreams That shake us nightly: better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy. Duncan is in his grave; After life's fitful fever he sleeps well; Treason has done his worst: nor steel, nor poison, Malice domestic, foreign levy, nothing, Can touch him further.	Duncan is in his grave; After life's fitful fever he sleeps well; Treason has done his worst: nor steel, nor poison, Malice domestic, foreign levy, nothing, Can touch him further.
life's fitful fever	But let the frame of things disjoint, both the worlds suffer, Ere we will eat our meal in fear and sleep In the affliction of these terrible dreams That shake us nightly: better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy. Duncan is in his grave; After life's fitful fever he sleeps well; Treason has done his worst: nor steel, nor poison, Malice domestic, foreign levy, nothing, Can touch him further.	Duncan is in his grave; After life's fitful fever he sleeps well; Treason has done his worst: nor steel, nor poison, Malice domestic, foreign levy, nothing, Can touch him further.
your rugged looks	Come on; Gentle my lord, sleek o'er your rugged looks; Be bright and jovial among your guests to-night.	Come on; Gentle my lord, sleek o'er your rugged looks; Be bright and jovial among your guests to-night.
Gentle my lord, sleek o'er your rugged looks; Be bright and jovial among your guests to-night.	Come on; Gentle my lord, sleek o'er your rugged looks; Be bright and jovial among your guests to-night.	Come on; Gentle my lord, sleek o'er your rugged looks; Be bright and jovial among your guests to-night.
Present him eminence, both with eye and tongue:	So shall I, love; and so, I pray, be you: Let your remembrance apply to Banquo; Present him eminence, both with eye and tongue: Unsafe the while, that we Must lave our honours in these flattering streams, And make our faces vizards to our hearts, Disguising what they are.	So shall I, love; and so, I pray, be you: Let your remembrance apply to Banquo; Present him eminence, both with eye and tongue:
lave our honours in these flattering streams, And make our faces vizards to our hearts, Disguising what they are.	So shall I, love; and so, I pray, be you: Let your remembrance apply to Banquo; Present him eminence, both with eye and tongue: Unsafe the while, that we Must lave our honours in these flattering streams, And make our faces vizards to our hearts, Disguising what they are.	Unsafe the while, that we Must lave our honours in these flattering streams, And make our faces vizards to our hearts, Disguising what they are.
these flattering streams	So shall I, love; and so, I pray, be you: Let your remembrance apply to Banquo; Present him eminence, both with eye and tongue: Unsafe the while, that we Must lave our honours in these flattering streams, And make our faces vizards to our hearts, Disguising what they are.	Unsafe the while, that we Must lave our honours in these flattering streams, And make our faces vizards to our hearts, Disguising what they are.
nature's copy	But in them nature's copy's not eterne.	But in them nature's copy's not eterne.
night's yawning peal	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.
black Hecate's summons	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.
His cloister'd flight	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.
The shard-borne beetle	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.
dreadful note	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.
ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.
his drowsy hums	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.	There's comfort yet; they are assailable; Then be thou jocund: ere the bat hath flown His cloister'd flight, ere to black Hecate's summons The shard-borne beetle with his drowsy hums Hath rung night's yawning peal, there shall be done A deed of dreadful note.
dearest chuck	Be innocent of the knowledge, dearest chuck, Till thou applaud the deed. Come, seeling night, Scarf up the tender eye of pitiful day; And with thy bloody and invisible hand Cancel and tear to pieces that great bond Which keeps me pale!	Be innocent of the knowledge, dearest chuck, Till thou applaud the deed.
applaud the deed.	Be innocent of the knowledge, dearest chuck, Till thou applaud the deed. Come, seeling night, Scarf up the tender eye of pitiful day; And with thy bloody and invisible hand Cancel and tear to pieces that great bond Which keeps me pale!	Be innocent of the knowledge, dearest chuck, Till thou applaud the deed.
tear to pieces that great bond Which keeps me pale!	Be innocent of the knowledge, dearest chuck, Till thou applaud the deed. Come, seeling night, Scarf up the tender eye of pitiful day; And with thy bloody and invisible hand Cancel and tear to pieces that great bond Which keeps me pale! Light thickens; and the crow Makes wing to the rooky wood:	Come, seeling night, Scarf up the tender eye of pitiful day; And with thy bloody and invisible hand Cancel and tear to pieces that great bond Which keeps me pale!
pitiful day	Be innocent of the knowledge, dearest chuck, Till thou applaud the deed. Come, seeling night, Scarf up the tender eye of pitiful day; And with thy bloody and invisible hand Cancel and tear to pieces that great bond Which keeps me pale! Light thickens; and the crow Makes wing to the rooky wood:	Come, seeling night, Scarf up the tender eye of pitiful day; And with thy bloody and invisible hand Cancel and tear to pieces that great bond Which keeps me pale!
the rooky wood	Come, seeling night, Scarf up the tender eye of pitiful day; And with thy bloody and invisible hand Cancel and tear to pieces that great bond Which keeps me pale! Light thickens; and the crow Makes wing to the rooky wood: Good things of day begin to droop and drowse; While night's black agents to their preys do rouse.	Light thickens; and the crow Makes wing to the rooky wood:
Makes wing to the rooky wood:	Come, seeling night, Scarf up the tender eye of pitiful day; And with thy bloody and invisible hand Cancel and tear to pieces that great bond Which keeps me pale! Light thickens; and the crow Makes wing to the rooky wood: Good things of day begin to droop and drowse; While night's black agents to their preys do rouse.	Light thickens; and the crow Makes wing to the rooky wood:
night's black agents	Light thickens; and the crow Makes wing to the rooky wood: Good things of day begin to droop and drowse; While night's black agents to their preys do rouse. Thou marvell'st at my words: but hold thee still; Things bad begun make strong themselves by ill.	Good things of day begin to droop and drowse; While night's black agents to their preys do rouse.
agents to their preys do rouse.	Light thickens; and the crow Makes wing to the rooky wood: Good things of day begin to droop and drowse; While night's black agents to their preys do rouse. Thou marvell'st at my words: but hold thee still; Things bad begun make strong themselves by ill.	Good things of day begin to droop and drowse; While night's black agents to their preys do rouse.
delivers Our offices and what we have to do To the direction just.	He needs not our mistrust, since he delivers Our offices and what we have to do To the direction just.	He needs not our mistrust, since he delivers Our offices and what we have to do To the direction just.
the lated traveller	Then stand with us. The west yet glimmers with some streaks of day: Now spurs the lated traveller apace To gain the timely inn; and near approaches The subject of our watch.	The west yet glimmers with some streaks of day: Now spurs the lated traveller apace To gain the timely inn; and near approaches The subject of our watch.
note of expectation Already are i' the court.	Then 'tis he: the rest That are within the note of expectation Already are i' the court.	Then 'tis he: the rest That are within the note of expectation Already are i' the court.
'tis he	Then 'tis he: the rest That are within the note of expectation Already are i' the court.	Then 'tis he: the rest That are within the note of expectation Already are i' the court.
from hence to the palace gate Make it their walk.	Almost a mile: but he does usually, So all men do, from hence to the palace gate Make it their walk.	Almost a mile: but he does usually, So all men do, from hence to the palace gate Make it their walk.
O, treachery	O, treachery! Fly, good Fleance, fly, fly, fly!	O, treachery!
Fleance, fly, fly, fly!	O, treachery! Fly, good Fleance, fly, fly, fly! Thou mayst revenge.	Fly, good Fleance, fly, fly, fly!
sit down: at first And last the hearty welcome.	You know your own degrees; sit down: at first And last the hearty welcome.	You know your own degrees; sit down: at first And last the hearty welcome.
the hearty welcome	You know your own degrees; sit down: at first And last the hearty welcome.	You know your own degrees; sit down: at first And last the hearty welcome.
Thanks to your majesty.	Thanks to your majesty.	Thanks to your majesty.
the humble host	Ourself will mingle with society, And play the humble host. Our hostess keeps her state, but in best time We will require her welcome.	Ourself will mingle with society, And play the humble host.
mingle with society, And play the humble host.	Ourself will mingle with society, And play the humble host. Our hostess keeps her state, but in best time We will require her welcome.	Ourself will mingle with society, And play the humble host.
Be large in mirth; anon we'll drink a measure The table round.	See, they encounter thee with their hearts' thanks. Both sides are even: here I'll sit i' the midst: Be large in mirth; anon we'll drink a measure The table round. There's blood on thy face.	Both sides are even: here I'll sit i' the midst: Be large in mirth; anon we'll drink a measure The table round.
'Tis Banquo	'Tis Banquo's then.	'Tis Banquo's then.
like for Fleance:	Thou art the best o' the cut-throats: yet he's good That did the like for Fleance: if thou didst it, Thou art the nonpareil.	Thou art the best o' the cut-throats: yet he's good That did the like for Fleance:
didst it, Thou art the nonpareil.	Thou art the best o' the cut-throats: yet he's good That did the like for Fleance: if thou didst it, Thou art the nonpareil.	if thou didst it, Thou art the nonpareil.
saucy doubts	Then comes my fit again: I had else been perfect, Whole as the marble, founded as the rock, As broad and general as the casing air: But now I am cabin'd, cribb'd, confined, bound in To saucy doubts and fears. But Banquo's safe?	Then comes my fit again: I had else been perfect, Whole as the marble, founded as the rock, As broad and general as the casing air: But now I am cabin'd, cribb'd, confined, bound in To saucy doubts and fears.
founded as the rock, As broad and general as the casing air: But now I am cabin'd, cribb'd, confined, bound in To saucy doubts and fears.	Then comes my fit again: I had else been perfect, Whole as the marble, founded as the rock, As broad and general as the casing air: But now I am cabin'd, cribb'd, confined, bound in To saucy doubts and fears. But Banquo's safe?	Then comes my fit again: I had else been perfect, Whole as the marble, founded as the rock, As broad and general as the casing air: But now I am cabin'd, cribb'd, confined, bound in To saucy doubts and fears.
the casing air	Then comes my fit again: I had else been perfect, Whole as the marble, founded as the rock, As broad and general as the casing air: But now I am cabin'd, cribb'd, confined, bound in To saucy doubts and fears. But Banquo's safe?	Then comes my fit again: I had else been perfect, Whole as the marble, founded as the rock, As broad and general as the casing air: But now I am cabin'd, cribb'd, confined, bound in To saucy doubts and fears.
twenty trenched gashes	Ay, my good lord: safe in a ditch he bides, With twenty trenched gashes on his head; The least a death to nature.	Ay, my good lord: safe in a ditch he bides, With twenty trenched gashes on his head; The least a death to nature.
the grown serpent	Thanks for that: There the grown serpent lies; the worm that's fled Hath nature that in time will venom breed, No teeth for the present. Get thee gone: to-morrow We'll hear, ourselves, again.	Thanks for that: There the grown serpent lies; the worm that's fled Hath nature that in time will venom breed, No teeth for the present.
Hath nature	Thanks for that: There the grown serpent lies; the worm that's fled Hath nature that in time will venom breed, No teeth for the present. Get thee gone: to-morrow We'll hear, ourselves, again.	Thanks for that: There the grown serpent lies; the worm that's fled Hath nature that in time will venom breed, No teeth for the present.
worm that's fled Hath nature that in time will venom breed, No teeth for the present.	Thanks for that: There the grown serpent lies; the worm that's fled Hath nature that in time will venom breed, No teeth for the present. Get thee gone: to-morrow We'll hear, ourselves, again.	Thanks for that: There the grown serpent lies; the worm that's fled Hath nature that in time will venom breed, No teeth for the present.
Sweet remembrancer	Sweet remembrancer! Now, good digestion wait on appetite, And health on both!	Sweet remembrancer!
good digestion	Sweet remembrancer! Now, good digestion wait on appetite, And health on both!	Now, good digestion wait on appetite, And health on both!
our country's honour roof'd	Here had we now our country's honour roof'd, Were the graced person of our Banquo present; Who may I rather challenge for unkindness Than pity for mischance!	Here had we now our country's honour roof'd, Were the graced person of our Banquo present; Who may I rather challenge for unkindness Than pity for mischance!
the graced person	Here had we now our country's honour roof'd, Were the graced person of our Banquo present; Who may I rather challenge for unkindness Than pity for mischance!	Here had we now our country's honour roof'd, Were the graced person of our Banquo present; Who may I rather challenge for unkindness Than pity for mischance!
our Banquo present	Here had we now our country's honour roof'd, Were the graced person of our Banquo present; Who may I rather challenge for unkindness Than pity for mischance!	Here had we now our country's honour roof'd, Were the graced person of our Banquo present; Who may I rather challenge for unkindness Than pity for mischance!
challenge for unkindness Than pity for mischance!	Here had we now our country's honour roof'd, Were the graced person of our Banquo present; Who may I rather challenge for unkindness Than pity for mischance!	Here had we now our country's honour roof'd, Were the graced person of our Banquo present; Who may I rather challenge for unkindness Than pity for mischance!
Please't your highness To grace us with your royal company.	His absence, sir, Lays blame upon his promise. Please't your highness To grace us with your royal company.	Please't your highness To grace us with your royal company.
Thy gory locks	Thou canst not say I did it: never shake Thy gory locks at me.	Thou canst not say I did it: never shake Thy gory locks at me.
shake Thy gory locks at me.	Thou canst not say I did it: never shake Thy gory locks at me.	Thou canst not say I did it: never shake Thy gory locks at me.
passion: Feed, and regard him not.	Sit, worthy friends: my lord is often thus, And hath been from his youth: pray you, keep seat; The fit is momentary; upon a thought He will again be well: if much you note him, You shall offend him and extend his passion: Feed, and regard him not. Are you a man?	Sit, worthy friends: my lord is often thus, And hath been from his youth: pray you, keep seat; The fit is momentary; upon a thought He will again be well: if much you note him, You shall offend him and extend his passion: Feed, and regard him not.
look on that Which might appal the devil.	Ay, and a bold one, that dare look on that Which might appal the devil.	Ay, and a bold one, that dare look on that Which might appal the devil.
the air-drawn dagger	O proper stuff! This is the very painting of your fear: This is the air-drawn dagger which, you said, Led you to Duncan. O, these flaws and starts, Impostors to true fear, would well become A woman's story at a winter's fire, Authorized by her grandam.	This is the very painting of your fear: This is the air-drawn dagger which, you said, Led you to Duncan.
O, these flaws and starts, Impostors to true fear, would well become A woman's story at a winter's fire, Authorized by her grandam.	This is the very painting of your fear: This is the air-drawn dagger which, you said, Led you to Duncan. O, these flaws and starts, Impostors to true fear, would well become A woman's story at a winter's fire, Authorized by her grandam. Shame itself!	O, these flaws and starts, Impostors to true fear, would well become A woman's story at a winter's fire, Authorized by her grandam.
a winter's fire	This is the very painting of your fear: This is the air-drawn dagger which, you said, Led you to Duncan. O, these flaws and starts, Impostors to true fear, would well become A woman's story at a winter's fire, Authorized by her grandam. Shame itself!	O, these flaws and starts, Impostors to true fear, would well become A woman's story at a winter's fire, Authorized by her grandam.
A woman's story	This is the very painting of your fear: This is the air-drawn dagger which, you said, Led you to Duncan. O, these flaws and starts, Impostors to true fear, would well become A woman's story at a winter's fire, Authorized by her grandam. Shame itself!	O, these flaws and starts, Impostors to true fear, would well become A woman's story at a winter's fire, Authorized by her grandam.
look but on a stool.	Why do you make such faces? When all's done, You look but on a stool.	When all's done, You look but on a stool.
canst nod, speak too.	Why, what care I? If thou canst nod, speak too. If charnel-houses and our graves must send Those that we bury back, our monuments Shall be the maws of kites.	If thou canst nod, speak too.
