sub_sentence	context
all Beatrice O’Hara	She learned in England to prefer whiskey and soda to wine, and her small talk was broadened in two senses during a winter in Vienna. All in all Beatrice O’Hara absorbed the sort of education that will be quite impossible ever again; a tutelage measured by the number of things and people one could be contemptuous of and charming about; a culture rich in all arts and traditions, barren of all ideas, in the last of those days when the great gardener clipped the inferior roses to produce one perfect bud. In her less important moments she returned to America, met Stephen Blaine and married him—this almost entirely because she was a little bit weary, a little bit sad.
the great gardener	She learned in England to prefer whiskey and soda to wine, and her small talk was broadened in two senses during a winter in Vienna. All in all Beatrice O’Hara absorbed the sort of education that will be quite impossible ever again; a tutelage measured by the number of things and people one could be contemptuous of and charming about; a culture rich in all arts and traditions, barren of all ideas, in the last of those days when the great gardener clipped the inferior roses to produce one perfect bud. In her less important moments she returned to America, met Stephen Blaine and married him—this almost entirely because she was a little bit weary, a little bit sad.
the inferior roses	She learned in England to prefer whiskey and soda to wine, and her small talk was broadened in two senses during a winter in Vienna. All in all Beatrice O’Hara absorbed the sort of education that will be quite impossible ever again; a tutelage measured by the number of things and people one could be contemptuous of and charming about; a culture rich in all arts and traditions, barren of all ideas, in the last of those days when the great gardener clipped the inferior roses to produce one perfect bud. In her less important moments she returned to America, met Stephen Blaine and married him—this almost entirely because she was a little bit weary, a little bit sad.
culture rich in all arts and traditions, barren of all ideas, in the last of those days when the great gardener clipped the inferior roses to produce one perfect bud.	She learned in England to prefer whiskey and soda to wine, and her small talk was broadened in two senses during a winter in Vienna. All in all Beatrice O’Hara absorbed the sort of education that will be quite impossible ever again; a tutelage measured by the number of things and people one could be contemptuous of and charming about; a culture rich in all arts and traditions, barren of all ideas, in the last of those days when the great gardener clipped the inferior roses to produce one perfect bud. In her less important moments she returned to America, met Stephen Blaine and married him—this almost entirely because she was a little bit weary, a little bit sad.
one perfect bud	She learned in England to prefer whiskey and soda to wine, and her small talk was broadened in two senses during a winter in Vienna. All in all Beatrice O’Hara absorbed the sort of education that will be quite impossible ever again; a tutelage measured by the number of things and people one could be contemptuous of and charming about; a culture rich in all arts and traditions, barren of all ideas, in the last of those days when the great gardener clipped the inferior roses to produce one perfect bud. In her less important moments she returned to America, met Stephen Blaine and married him—this almost entirely because she was a little bit weary, a little bit sad.
married him—this almost entirely because she was a little bit weary, a little bit sad.	All in all Beatrice O’Hara absorbed the sort of education that will be quite impossible ever again; a tutelage measured by the number of things and people one could be contemptuous of and charming about; a culture rich in all arts and traditions, barren of all ideas, in the last of those days when the great gardener clipped the inferior roses to produce one perfect bud. In her less important moments she returned to America, met Stephen Blaine and married him—this almost entirely because she was a little bit weary, a little bit sad. Her only child was carried through a tiresome season and brought into the world on a spring day in ninety-six.
a tiresome season	In her less important moments she returned to America, met Stephen Blaine and married him—this almost entirely because she was a little bit weary, a little bit sad. Her only child was carried through a tiresome season and brought into the world on a spring day in ninety-six. When Amory was five he was already a delightful companion for her.
brought into the world on a spring day in ninety-six.	In her less important moments she returned to America, met Stephen Blaine and married him—this almost entirely because she was a little bit weary, a little bit sad. Her only child was carried through a tiresome season and brought into the world on a spring day in ninety-six. When Amory was five he was already a delightful companion for her.
was already a delightful companion for her.	Her only child was carried through a tiresome season and brought into the world on a spring day in ninety-six. When Amory was five he was already a delightful companion for her. He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress.
a delightful companion	Her only child was carried through a tiresome season and brought into the world on a spring day in ninety-six. When Amory was five he was already a delightful companion for her. He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress.
a facile imaginative mind	When Amory was five he was already a delightful companion for her. He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress. From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption.
an auburn-haired boy	When Amory was five he was already a delightful companion for her. He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress. From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption.
great, handsome eyes	When Amory was five he was already a delightful companion for her. He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress. From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption.
his tenth year	He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress. From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption. This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers.
a mild, almost epidemic consumption	He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress. From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption. This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers.
her father’s private car	He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress. From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption. This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers.
breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption.	He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress. From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption. This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers.
a fashionable hotel	He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress. From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption. This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers.
part of her atmosphere—especially after several astounding bracers.	From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption. This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother.
several astounding bracers	From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption. This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother.
an intrinsic part	From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption. This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother.
acquiescent bellboys	This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother. “Amory.”
a natural repugnance	This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother. “Amory.”
more or less fortunate little rich boys	This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother. “Amory.”
governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother.	This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother. “Amory.”
“Yes, Beatrice	“Amory.” “Yes, Beatrice.” (Such a quaint name for his mother; she encouraged it.)
name for his mother; she encouraged it.)	“Yes, Beatrice.” (Such a quaint name for his mother; she encouraged it.) “Dear, don’t think of getting out of bed yet.
rising in early life makes one nervous.	“Dear, don’t think of getting out of bed yet. I’ve always suspected that early rising in early life makes one nervous. Clothilde is having your breakfast brought up.”
facile as Bernhardt’s.	“All right.” “I am feeling very old today, Amory,” she would sigh, her face a rare cameo of pathos, her voice exquisitely modulated, her hands as facile as Bernhardt’s. “My nerves are on edge—on edge.
a rare cameo	“All right.” “I am feeling very old today, Amory,” she would sigh, her face a rare cameo of pathos, her voice exquisitely modulated, her hands as facile as Bernhardt’s. “My nerves are on edge—on edge.
this terrifying place	“My nerves are on edge—on edge. We must leave this terrifying place tomorrow and go searching for sunshine.” Amory’s penetrating green eyes would look out through tangled hair at his mother.
tangled hair	We must leave this terrifying place tomorrow and go searching for sunshine.” Amory’s penetrating green eyes would look out through tangled hair at his mother. Even at this age he had no illusions about her.
had no illusions about her.	Amory’s penetrating green eyes would look out through tangled hair at his mother. Even at this age he had no illusions about her. “Amory.”
talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven.	You can read in the tub if you wish.” She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven. One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy.
the Fêtes Galantes	You can read in the tub if you wish.” She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven. One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy.
sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy.	She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven. One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy. This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction.
a vulgar, plebeian reaction	One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy. This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction. Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”
essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction.	One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy. This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction. Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”
part of what in a later generation would have been termed her “line.”	This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction. Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.” “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.”
son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.”	Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.” “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial.
sinking her voice to a whisper, she told them of the apricot cordial.	“This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.
her beautiful bosom	“This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.
rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.
the possible defection	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.
a brave raconteuse	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.
sideboard locks	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.
These domestic pilgrimages	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.
car, or Mr. Blaine when available, and very often a physician.	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.
two maids	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.
scarlet fever	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through.
totalled fourteen.	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through.
the whooping-cough four disgusted specialists	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through.
serve in place of friends, and an enviable standing from Pasadena to Cape Cod.	The Blaines were attached to no city. They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals.
an enviable standing	The Blaines were attached to no city. They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals.
grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals.	They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals. Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves.
only new acquaintances	They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals. Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves.
Freudian dreams	But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals. Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves. But Beatrice was critical about American women, especially the floating population of ex-Westerners.
lay siege to her nerves.	But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals. Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves. But Beatrice was critical about American women, especially the floating population of ex-Westerners.
critical about American women, especially the floating population of ex-Westerners.	Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves. But Beatrice was critical about American women, especially the floating population of ex-Westerners. “They have accents, my dear,” she told Amory, “not Southern accents or Boston accents, not an accent attached to any locality, just an accent”—she became dreamy.
attached to any locality, just an accent”—she became dreamy.	But Beatrice was critical about American women, especially the floating population of ex-Westerners. “They have accents, my dear,” she told Amory, “not Southern accents or Boston accents, not an accent attached to any locality, just an accent”—she became dreamy. “They pick up old, moth-eaten London accents that are down on their luck and have to be used by someone.
just an accent”—she	But Beatrice was critical about American women, especially the floating population of ex-Westerners. “They have accents, my dear,” she told Amory, “not Southern accents or Boston accents, not an accent attached to any locality, just an accent”—she became dreamy. “They pick up old, moth-eaten London accents that are down on their luck and have to be used by someone.
old, moth-eaten London accents	“They have accents, my dear,” she told Amory, “not Southern accents or Boston accents, not an accent attached to any locality, just an accent”—she became dreamy. “They pick up old, moth-eaten London accents that are down on their luck and have to be used by someone. They talk as an English butler might after several years in a Chicago grand-opera company.”
down on their luck and have to be used by someone.	“They have accents, my dear,” she told Amory, “not Southern accents or Boston accents, not an accent attached to any locality, just an accent”—she became dreamy. “They pick up old, moth-eaten London accents that are down on their luck and have to be used by someone. They talk as an English butler might after several years in a Chicago grand-opera company.”
after several years in a Chicago grand-opera company.”	“They pick up old, moth-eaten London accents that are down on their luck and have to be used by someone. They talk as an English butler might after several years in a Chicago grand-opera company.” She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life.
time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life.	They talk as an English butler might after several years in a Chicago grand-opera company.” She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life. She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude.
every Western woman’s life	They talk as an English butler might after several years in a Chicago grand-opera company.” She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life. She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude.
an enchantingly wavering attitude	She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life. She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome.
process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude.	She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life. She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome.
lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome.	She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome. Still, next to doctors, priests were her favorite sport.
the American Catholic clergy	She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome. Still, next to doctors, priests were her favorite sport.
the bourgeois quality	She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome. Still, next to doctors, priests were her favorite sport.
the mighty altar	She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome. Still, next to doctors, priests were her favorite sport.
the clergyman—“but my mood	“Ah, Bishop Wiston,” she would declare, “I do not want to talk of myself. I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.” Only to bishops and above did she divulge her clerical romance.
imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.”	“Ah, Bishop Wiston,” she would declare, “I do not want to talk of myself. I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.” Only to bishops and above did she divulge her clerical romance.
hysterical women	“Ah, Bishop Wiston,” she would declare, “I do not want to talk of myself. I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.” Only to bishops and above did she divulge her clerical romance.
her clerical romance	I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.” Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness.
divulge her clerical romance.	I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.” Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness.
a decided penchant	Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.
whose passionate kisses	Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.
Swinburnian young man	Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.
unsentimental conversations	Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.
