ORIGINAL	TRANSLATED

He never got to the stage of making them and getting rid of them—he was not hard enough for that—so he measured Thomas Parke D’Invilliers’ undoubted attractions and value against the menace of cold eyes behind tortoise-rimmed spectacles that he fancied glared from the next table. “Yes, I’ll go.” So he found Dorian Gray and the Mystic and Somber Dolores and the Belle Dame sans Merci; for a month was keen on naught else	He never reached the point of using people and discarding them—he wasn't tough enough. Instead, he weighed Thomas Parke D’Invilliers’ good qualities against the possibility of getting judged harshly by someone with cold eyes behind glasses, who he imagined was glaring at him from the nearby table. “Okay, I’ll go.” That’s how he discovered *Dorian Gray*, the mystical and sad Dolores, and the heartless beauty; for a whole month, he wasn't interested in anything else.

The world became pale and interesting, and he tried hard to look at Princeton through the satiated eyes of Oscar Wilde and Swinburne—or “Fingal O’Flaherty” and “Algernon Charles,” as he called them in précieuse jest. He read enormously every night—Shaw, Chesterton, Barrie, Pinero, Yeats, Synge, Ernest Dowson, Arthur Symons, Keats, Sudermann, Robert Hugh Benson, the Savoy Operas—just a heterogeneous mixture, for he suddenly discovered that he had read nothing for years. Tom D’Invilliers became at first an occasion rather than a friend. Amory saw him about once a week, and together they gilded the ceiling of Tom’s room and decorated the walls with imitation tapestry, bought at an auction, tall candlesticks and figured curtains	Life seemed muted but intriguing, and he tried to see Princeton with the jaded perspective of Oscar Wilde and Swinburne ("Fingal O'Flaherty" and "Algernon Charles," as he jokingly called them in a fancy way). He devoured books every night—Shaw, Chesterton, Barrie, Pinero, Yeats, Synge, Ernest Dowson, Arthur Symons, Keats, Sudermann, Robert Hugh Benson, the Savoy Operas—just a random mix, because he realized he hadn't really read anything in ages. At first, Tom D’Invilliers was more of something to do than a true friend. Amory saw him about once a week, and together they decorated Tom’s room with gold paint on the ceiling, fake tapestries from an auction, tall candlesticks, and patterned curtains.

Amory liked him for being clever and literary without effeminacy or affectation. In fact, Amory did most of the strutting and tried painfully to make every remark an epigram, than which, if one is content with ostensible epigrams, there are many feats harder. 12 Univee was amused	Amory liked him because he was smart and into books, but not in a way that felt fake or showy. Actually, Amory was the one who acted cocky and tried way too hard to make everything he said sound like a witty one-liner. It's much harder to *actually* be witty than just trying to *look* witty. 12 Univee found it funny.

Kerry read Dorian Gray and simulated Lord Henry, following Amory about, addressing him as “Dorian” and pretending to encourage in him wicked fancies and attenuated tendencies to ennui. When he carried it into Commons, to the amazement of the others at table, Amory became furiously embarrassed, and after that made epigrams only before D’Invilliers or a convenient mirror. One day Tom and Amory tried reciting their own and Lord Dunsany’s poems to the music of Kerry’s graphophone. “Chant!” cried Tom	Kerry read "Dorian Gray" and acted like Lord Henry. He followed Amory around, calling him "Dorian" and jokingly pushing him to be cynical and bored. When he did this in the dining hall, embarrassing Amory in front of everyone, Amory stopped making witty remarks except when he was with D’Invilliers or by himself. One day, Tom and Amory tried reciting their poems, and poems by Lord Dunsany, while Kerry played music on his record player. "Chant!" Tom yelled.

“Don’t recite! Chant!” Amory, who was performing, looked annoyed, and claimed that he needed a record with less piano in it. Kerry thereupon rolled on the floor in stifled laughter. “Put on ‘Hearts and Flowers’!” he howled. “Oh, my Lord, I’m going to cast a kitten	"Don't just read it, sing it!" Amory, who was singing, looked bothered and said he needed a record with less piano. Then Kerry fell to the floor, laughing quietly. "Play 'Hearts and Flowers'!" he yelled. "Oh my God, I can't stop laughing!"

“Shut off the damn graphophone,” Amory cried, rather red in the face. “I’m not giving an exhibition.” In the meanwhile Amory delicately kept trying to awaken a sense of the social system in D’Invilliers, for he knew that this poet was really more conventional than he, and needed merely watered hair, a smaller range of conversation, and a darker brown hat to become quite regular	"Turn off that stupid record player," Amory said, getting a little flushed. "I'm not putting on a show." All the while, Amory was carefully trying to get D'Invilliers to understand how society works, because he knew the poet was actually more traditional than himself. He just needed less flashy hair, simpler conversations, and a more ordinary hat to fit right in.

But the liturgy of Livingstone collars and dark ties fell on heedless ears; in fact D’Invilliers faintly resented his efforts; so Amory confined himself to calls once a week, and brought him occasionally to 12 Univee. This caused mild titters among the other freshmen, who called them “Doctor Johnson and Boswell.” Alec Connage, another frequent visitor, liked him in a vague way, but was afraid of him as a highbrow. Kerry, who saw through his poetic patter to the solid, almost respectable depths within, was immensely amused and would have him recite poetry by the hour, while he lay with closed eyes on Amory’s sofa and listened: “Asleep or waking is it? for her neck Kissed over close, wears yet a purple speck Wherein the pained blood falters and goes out; Soft and stung softly—fairer for a fleck	No one cared about D'Invilliers dressing like a clergyman with his stiff collars and dark ties. D'Invilliers even seemed annoyed by Amory's attempts to connect. So Amory only visited him once a week and sometimes took him to 12 University Place. This made the other freshmen laugh, and they nicknamed them "Doctor Johnson and Boswell." Alec Connage, another regular visitor, liked D'Invilliers, but was also intimidated by his intelligence. Kerry saw past D'Invilliers' fancy poetry and recognized his serious, almost conventional side. Kerry found this hilarious and would make him recite poetry for hours while he relaxed on Amory's couch with his eyes closed, listening.

“That’s good,” Kerry would say softly. “It pleases the elder Holiday. That’s a great poet, I guess	"Okay, that's cool," Kerry would say quietly. "It makes the old man Holiday happy. I guess he's a really good poet."

Tom, delighted at an audience, would ramble through the Poems and Ballades until Kerry and Amory knew them almost as well as he. Amory took to writing poetry on spring afternoons, in the gardens of the big estates near Princeton, while swans made effective atmosphere in the artificial pools, and slow clouds sailed harmoniously above the willows. May came too soon, and suddenly unable to bear walls, he wandered the campus at all hours through starlight and rain	Tom loved having people listen to him and would go on and on about poems and ballads until Kerry and Amory knew them practically by heart. Amory started writing his own poetry on spring afternoons in the gardens of those fancy houses near Princeton. Swans in the fake ponds and slow-moving clouds over the willow trees made the whole scene feel really poetic. May arrived quickly, and feeling trapped indoors, he walked around campus at all hours, whether it was starry or raining.

The night mist fell. From the moon it rolled, clustered about the spires and towers, and then settled below them, so that the dreaming peaks were still in lofty aspiration toward the sky	The night got misty. The mist came from the moon, swirling around the tall buildings. Then it dropped lower, leaving the high points still reaching for the sky.

Figures that dotted the day like ants now brushed along as shadowy ghosts, in and out of the foreground. The Gothic halls and cloisters were infinitely more mysterious as they loomed suddenly out of the darkness, outlined each by myriad faint squares of yellow light	People who had been visible all day now moved like shadowy ghosts, drifting in and out of sight. The old buildings looked even more mysterious as they appeared out of the darkness, each one lit by countless small squares of light.

Indefinitely from somewhere a bell boomed the quarter-hour, and Amory, pausing by the sundial, stretched himself out full length on the damp grass. The cool bathed his eyes and slowed the flight of time—time that had crept so insidiously through the lazy April afternoons, seemed so intangible in the long spring twilights. Evening after evening the senior singing had drifted over the campus in melancholy beauty, and through the shell of his undergraduate consciousness had broken a deep and reverent devotion to the gray walls and Gothic peaks and all they symbolized as warehouses of dead ages. The tower that in view of his window sprang upward, grew into a spire, yearning higher until its uppermost tip was half invisible against the morning skies, gave him the first sense of the transiency and unimportance of the campus figures except as holders of the apostolic succession	From somewhere, a bell rang the quarter-hour. Amory stopped by the sundial, then lay down on the wet grass. The coolness felt good on his eyes and made time slow down. Time had passed so quietly during the slow April afternoons and felt so unreal during the long spring evenings. Every evening, the senior choir's singing floated across the campus, beautiful but sad. This made him, as a college student, deeply respect the old buildings, their Gothic architecture, and everything they represented as places holding onto the past. The tower he could see from his window, reaching up like a spire towards the sky until the top almost disappeared, made him realize that the people on campus weren't important except as links to tradition.

He liked knowing that Gothic architecture, with its upward trend, was peculiarly appropriate to universities, and the idea became personal to him. The silent stretches of green, the quiet halls with an occasional late-burning scholastic light held his imagination in a strong grasp, and the chastity of the spire became a symbol of this perception	He felt a connection to universities because of their Gothic buildings that reach towards the sky. The idea of the architecture became important to him personally. The peaceful green spaces and quiet buildings, with a single light burning late, captivated him. The pure, clean lines of the church spire symbolized this feeling.

“Damn it all,” he whispered aloud, wetting his hands in the damp and running them through his hair. “Next year I work!” Yet he knew that where now the spirit of spires and towers made him dreamily acquiescent, it would then overawe him. Where now he realized only his own inconsequence, effort would make him aware of his own impotency and insufficiency	"Damn it," he muttered, running his wet hands through his hair. "Next year, I'm getting a job!" But he knew that the inspiring feeling he got from the university would then overwhelm him. Right now, he only felt insignificant, but working would just make him feel useless and inadequate.

The college dreamed on—awake. He felt a nervous excitement that might have been the very throb of its slow heart	The college was like a living thing, even while everyone was going about their day. He felt a jittery excitement, like he could feel the college's pulse, slow and steady.

It was a stream where he was to throw a stone whose faint ripple would be vanishing almost as it left his hand. As yet he had given nothing, he had taken nothing	It felt like he was about to make a small, insignificant impact that would disappear almost immediately. He hadn't contributed anything yet, and he hadn't gained anything either.

A belated freshman, his oilskin slicker rasping loudly, slushed along the soft path. A voice from somewhere called the inevitable formula, “Stick out your head!” below an unseen window. A hundred little sounds of the current drifting on under the fog pressed in finally on his consciousness	Late to the party as a freshman, his raincoat making a loud noise, he walked through the slushy path. Someone yelled the same old joke, "Show yourself!" from a hidden window. Eventually, he noticed all the little sounds of the water flowing under the fog.

“Oh, God!” he cried suddenly, and started at the sound of his voice in the stillness. The rain dripped on. A minute longer he lay without moving, his hands clinched. Then he sprang to his feet and gave his clothes a tentative pat	"Oh God!" he yelled, surprised to hear himself in the quiet. The rain kept falling. He stayed still for another minute, hands clenched tight. Then he jumped up and brushed off his clothes.

“I’m very damn wet!” he said aloud to the sundial.	"I'm really soaked!" he said to the sundial.

The war began in the summer following his freshman year. Beyond a sporting interest in the German dash for Paris the whole affair failed either to thrill or interest him. With the attitude he might have held toward an amusing melodrama he hoped it would be long and bloody	The summer after his first year of college, the war started. He was mildly curious about Germany's push towards Paris, but overall, the war didn't excite him. He viewed it like a dramatic movie and hoped it would be a long and violent one.

If it had not continued he would have felt like an irate ticket-holder at a prizefight where the principals refused to mix it up. That was his total reaction.	If it had stopped there, he would have felt like an angry fan at a boxing match where the fighters wouldn't actually fight. That's all he felt.

“All right, ponies!” “Shake it up!” “Hey, ponies—how about easing up on that crap game and shaking a mean hip?” “Hey, ponies!” The coach fumed helplessly, the Triangle Club president, glowering with anxiety, varied between furious bursts of authority and fits of temperamental lassitude, when he sat spiritless and wondered how the devil the show was ever going on tour by Christmas. “All right	“Okay, everyone!” “Let's get moving!” “Hey, guys—can you take a break from that card game and actually dance?” “Hey, everyone!” The coach was getting really frustrated. The president of the Triangle Club, looking worried, kept switching between yelling orders and just being totally exhausted. He'd sit there, completely discouraged, wondering how they’d ever get the show ready to tour by Christmas. “Okay,

We’ll take the pirate song.” The ponies took last drags at their cigarettes and slumped into place; the leading lady rushed into the foreground, setting his hands and feet in an atmospheric mince; and as the coach clapped and stamped and tumped and da-da’d, they hashed out a dance. A great, seething anthill was the Triangle Club	"Let's do the pirate song." The chorus girls finished their cigarettes and got into position. The star dancer hurried to the front, moving his hands and feet in a fancy, showy way. As the music played loudly and with a strong beat, they quickly threw together a dance. The Triangle Club was a chaotic, bustling place.

It gave a musical comedy every year, travelling with cast, chorus, orchestra, and scenery all through Christmas vacation. The play and music were the work of undergraduates, and the club itself was the most influential of institutions, over three hundred men competing for it every year. Amory, after an easy victory in the first sophomore Princetonian competition, stepped into a vacancy of the cast as Boiling Oil, a Pirate Lieutenant	Every year, they put on a musical comedy. The whole show – actors, singers, band, and sets – went on tour during Christmas break. Students wrote the play and music. The club that put it on was super popular; over 300 guys tried out each year. Amory easily won a spot on the school newspaper in his second year and then got a role in the show as Boiling Oil, a pirate officer.

Every night for the last week they had rehearsed Ha-Ha Hortense! in the Casino, from two in the afternoon until eight in the morning, sustained by dark and powerful coffee, and sleeping in lectures through the interim. A rare scene, the Casino	For the past week, they practiced the play "Ha-Ha Hortense!" at the Casino every night. They worked from 2 PM until 8 AM, fueled by strong, dark coffee, and then slept through their classes during the day. The Casino was a strange sight.

A big, barnlike auditorium, dotted with boys as girls, boys as pirates, boys as babies; the scenery in course of being violently set up; the spotlight man rehearsing by throwing weird shafts into angry eyes; over all the constant tuning of the orchestra or the cheerful tumpty-tump of a Triangle tune. The boy who writes the lyrics stands in the corner, biting a pencil, with twenty minutes to think of an encore; the business manager argues with the secretary as to how much money can be spent on “those damn milkmaid costumes”; the old graduate, president in ninety-eight, perches on a box and thinks how much simpler it was in his day. How a Triangle show ever got off was a mystery, but it was a riotous mystery, anyway, whether or not one did enough service to wear a little gold Triangle on his watch-chain. Ha-Ha Hortense! was written over six times and had the names of nine collaborators on the programme	A huge auditorium was filled with guys dressed as girls, pirates, and babies. Stagehands were frantically setting up the scenery. The spotlight operator practiced by shining harsh beams into annoyed eyes. The orchestra was constantly tuning their instruments, or someone cheerfully played a simple tune on a triangle. The lyricist stood in the corner, chewing on a pencil, trying to come up with an encore in just twenty minutes. The business manager and secretary argued about how much money they could spend on the "damn milkmaid costumes." An older alumnus, class of '98, sat on a box, thinking about how much easier things were back then. It was a miracle how a Triangle show ever came together, but it was a crazy, chaotic miracle, regardless of whether you contributed enough to earn a small gold Triangle for your watch chain. "Ha-Ha Hortense!" had been rewritten six times and had nine writers listed in the program.

All Triangle shows started by being “something different—not just a regular musical comedy,” but when the several authors, the president, the coach and the faculty committee finished with it, there remained just the old reliable Triangle show with the old reliable jokes and the star comedian who got expelled or sick or something just before the trip, and the dark-whiskered man in the pony-ballet, who “absolutely won’t shave twice a day, doggone it!” There was one brilliant place in Ha-Ha Hortense! It is a Princeton tradition that whenever a Yale man who is a member of the widely advertised Skull and Bones hears the sacred name mentioned, he must leave the room. It is also a tradition that the members are invariably successful in later life, amassing fortunes or votes or coupons or whatever they choose to amass. Therefore, at each performance of Ha-Ha Hortense! half-a-dozen seats were kept from sale and occupied by six of the worst-looking vagabonds that could be hired from the streets, further touched up by the Triangle makeup man	Triangle shows always aimed to be "unique," not just another typical musical. But after too many people got involved – the writers, the school president, the coach, and a faculty group – they always ended up being the same old Triangle show. Same old jokes, same star comedian who always had a problem right before the tour (got kicked out, got sick, something like that), and the hairy guy in the pony ballet who refused to shave twice a day, no matter what! There was one clever bit in "Ha-Ha Hortense!" It's a Princeton thing that whenever a Yale guy from Skull and Bones hears that name, he has to leave the room. The rumor is those guys always become successful, raking in money, votes, whatever they want. So, at every show of "Ha-Ha Hortense!", they kept six seats empty and filled them with the ugliest homeless people they could find and made them even worse with makeup.

At the moment in the show where Firebrand, the Pirate Chief, pointed at his black flag and said, “I am a Yale graduate—note my Skull and Bones!”—at this very moment the six vagabonds were instructed to rise conspicuously and leave the theatre with looks of deep melancholy and an injured dignity. It was claimed though never proved that on one occasion the hired Elis were swelled by one of the real thing. They played through vacation to the fashionable of eight cities. Amory liked Louisville and Memphis best: these knew how to meet strangers, furnished extraordinary punch, and flaunted an astonishing array of feminine beauty	When the pirate captain in the play, Firebrand, showed off his pirate flag and joked, "I went to Yale—check out my Skull and Bones!" that's when the six guys paid to be troublemakers were supposed to get up and walk out of the theater looking really sad and offended. People said that once, one of the actual Yale students joined them, but no one could ever prove it. The group performed during breaks in eight cities for rich people. Amory liked Louisville and Memphis the most. Those cities were welcoming to outsiders, had amazing parties, and a lot of beautiful women.

Chicago he approved for a certain verve that transcended its loud accent—however, it was a Yale town, and as the Yale Glee Club was expected in a week the Triangle received only divided homage. In Baltimore, Princeton was at home, and everyone fell in love	He liked Chicago because it had a cool energy that made up for its rough edges. But it was a Yale kind of place, and since the Yale Glee Club was coming soon, the Triangle Club (probably a Princeton club) wasn't getting much attention. In Baltimore, Princeton was the favorite, and everyone was smitten.

There was a proper consumption of strong waters all along the line; one man invariably went on the stage highly stimulated, claiming that his particular interpretation of the part required it. There were three private cars; however, no one slept except in the third car, which was called the “animal car,” and where were herded the spectacled windjammers of the orchestra. Everything was so hurried that there was no time to be bored, but when they arrived in Philadelphia, with vacation nearly over, there was rest in getting out of the heavy atmosphere of flowers and greasepaint, and the ponies took off their corsets with abdominal pains and sighs of relief. When the disbanding came, Amory set out post haste for Minneapolis, for Sally Weatherby’s cousin, Isabelle Borgé, was coming to spend the winter in Minneapolis while her parents went abroad	Everyone was drinking a lot of alcohol. One actor always got drunk before going on stage, saying his acting needed it. They had three private train cars, but everyone slept in the third one, nicknamed the "animal car," where the nerdy orchestra members were crammed together. Everything was so rushed that nobody had time to be bored. But when they got to Philadelphia, with their break almost over, it was a relief to escape the heavy smell of flowers and makeup. The dancers took off their corsets, breathing sighs of relief and complaining about stomach aches. When the group split up, Amory rushed to Minneapolis because Sally Weatherby's cousin, Isabelle Borgé, was going to spend the winter there while her parents traveled overseas.

He remembered Isabelle only as a little girl with whom he had played sometimes when he first went to Minneapolis. She had gone to Baltimore to live—but since then she had developed a past. Amory was in full stride, confident, nervous, and jubilant. Scurrying back to Minneapolis to see a girl he had known as a child seemed the interesting and romantic thing to do, so without compunction he wired his mother not to expect him	He just remembered Isabelle as a kid he used to play with when he first moved to Minneapolis. She'd moved to Baltimore, and apparently had some life experiences since then. Amory was feeling good, confident, a little anxious, and excited. The idea of rushing back to Minneapolis to see a girl he'd known when he was a child seemed interesting and romantic, so he wired his mother without a second thought, telling her he wouldn't be coming.

sat in the train, and thought about himself for thirty-six hours.	He was on the train for thirty-six hours, just thinking about himself.

On the Triangle trip Amory had come into constant contact with that great current American phenomenon, the “petting party.” None of the Victorian mothers—and most of the mothers were Victorian—had any idea how casually their daughters were accustomed to be kissed. “Servant-girls are that way,” says Mrs. Huston-Carmelite to her popular daughter	During the Triangle trip, Amory kept running into "petting parties," which were a big thing in America then. Most of the moms (who were old-fashioned) had no clue how easily their daughters got kissed. Mrs. Huston-Carmelite said to her popular daughter, "Only maids act like that."

“They are kissed first and proposed to afterward.” But the Popular Daughter becomes engaged every six months between sixteen and twenty-two, when she arranges a match with young Hambell, of Cambell & Hambell, who fatuously considers himself her first love, and between engagements the P.D	"They get kissed before they get proposed to." The Popular Daughter gets engaged like clockwork every six months from sixteen to twenty-two. Then, she ends up marrying young Hambell, from Cambell & Hambell. He's cluelessly convinced he's her first true love. And in between all those engagements, the P.D...

(she is selected by the cut-in system at dances, which favors the survival of the fittest) has other sentimental last kisses in the moonlight, or the firelight, or the outer darkness. Amory saw girls doing things that even in his memory would have been impossible: eating three-o’clock, after-dance suppers in impossible cafés, talking of every side of life with an air half of earnestness, half of mockery, yet with a furtive excitement that Amory considered stood for a real moral letdown. But he never realized how widespread it was until he saw the cities between New York and Chicago as one vast juvenile intrigue	She, being chosen by guys cutting in on dances (where only the most popular girls survive), still finds time for romantic late-night kisses by the moon, fire, or in some dark corner. Amory watched girls behaving in ways that seemed crazy even compared to recent memory: eating late-night meals after dances in awful restaurants, discussing all aspects of life with a mix of seriousness and sarcasm, but with a hidden thrill that Amory thought showed a real decline in morals. But he didn't understand how common it was until he saw the cities between New York and Chicago as one giant teenage drama.

Afternoon at the Plaza, with winter twilight hovering outside and faint drums downstairs. they strut and fret in the lobby, taking another cocktail, scrupulously attired and waiting. Then the swinging doors revolve and three bundles of fur mince in. The theatre comes afterward; then a table at the Midnight Frolic—of course, mother will be along there, but she will serve only to make things more secretive and brilliant as she sits in solitary state at the deserted table and thinks such entertainments as this are not half so bad as they are painted, only rather wearying	It's afternoon at the Plaza Hotel. Outside, it's getting dark and you can hear faint drums from below. People are showing off in the lobby, getting another drink, dressed perfectly, waiting. The doors spin and three women in fur coats walk in, acting coy. They'll go to the theater later, then to the Midnight Frolic club. Of course, one of their mothers will be there, but she'll just make everything seem more exciting and secretive as she sits alone at a table, thinking these parties aren't as bad as people say, just tiring.

But the P.D. is in love again. it was odd, wasn’t it?—that though there was so much room left in the taxi the P.D. and the boy from Williams were somehow crowded out and had to go in a separate car	But the professor is in love again. Weird, right? Even though there was plenty of space in the taxi, the professor and the Williams guy were kind of pushed aside and had to take another car.

Odd! Didn’t you notice how flushed the P.D. was when she arrived just seven minutes late? But the P.D. “gets away with it	That's weird! Did you see how embarrassed Paula Dickinson was when she showed up only seven minutes late? But she usually gets away with being late.

The “belle” had become the “flirt,” the “flirt” had become the “baby vamp.” The “belle” had five or six callers every afternoon. If the P.D., by some strange accident, has two, it is made pretty uncomfortable for the one who hasn’t a date with her. The “belle” was surrounded by a dozen men in the intermissions between dances. Try to find the P.D. between dances, just try to find her. The same girl	The popular girl used to be charming, then she became a flirt, and now she's overly seductive. Back then, the charming girl had a bunch of guys visiting her every day. Now, if the overly seductive girl even has two guys interested, it's awkward for the one who's not on a date with her. The charming girl was always with a crowd of guys between dances. But try finding the overly seductive girl between dances – good luck. It's the same girl.

deep in an atmosphere of jungle music and the questioning of moral codes. Amory found it rather fascinating to feel that any popular girl he met before eight he might quite possibly kiss before twelve. “Why on earth are we here?” he asked the girl with the green combs one night as they sat in someone’s limousine, outside the Country Club in Louisville. “I don’t know	Lost in the loud music and discussions about what's right and wrong, Amory thought it was cool that he could kiss any girl he met early in the evening before midnight. "Seriously, why are we even here?" he asked the girl with the green hair clips one night, sitting in a limo outside the Louisville Country Club. "I have no idea."

I’m just full of the devil.” “Let’s be frank—we’ll never see each other again	"I'm feeling really mischievous." "Let's be honest—we're never going to see each other again."

I wanted to come out here with you because I thought you were the best-looking girl in sight. You really don’t care whether you ever see me again, do you?” “No—but is this your line for every girl? What have I done to deserve it?” “And you didn’t feel tired dancing or want a cigarette or any of the things you said? You just wanted to be—” “Oh, let’s go in,” she interrupted, “if you want to analyze. Let’s not talk about it	"I came out here with you because I thought you were the prettiest girl here. You don't really care if you ever see me again, right?" "No, but is that what you say to every girl? What did I do to make you say that?" "And you weren't tired from dancing, or want a cigarette, or anything you said? You just wanted to be—" "Oh, let's go back inside," she cut in, "if you want to overthink things. Let's not talk about it."

When the hand-knit, sleeveless jerseys were stylish, Amory, in a burst of inspiration, named them “petting shirts.” The name travelled from coast to coast on the lips of parlor-snakes and P	Back when those sleeveless, hand-knitted sweaters were cool, Amory, in a moment of genius, called them "petting shirts." The name spread everywhere, talked about by gossips and...

Amory was now eighteen years old, just under six feet tall and exceptionally, but not conventionally, handsome. He had rather a young face, the ingenuousness of which was marred by the penetrating green eyes, fringed with long dark eyelashes	Amory was eighteen, almost six feet tall, and really good-looking, but not in a typical way. He looked young, but his innocent face was offset by sharp, green eyes with long, dark lashes.

He lacked somehow that intense animal magnetism that so often accompanies beauty in men or women; his personality seemed rather a mental thing, and it was not in his power to turn it on and off like a water-faucet. But people never forgot his face.	He wasn't naturally attractive like some people are. His appeal was more intellectual, and he couldn't just charm people on command. But everyone remembered him.

She paused at the top of the staircase. The sensations attributed to divers on springboards, leading ladies on opening nights, and lumpy, husky young men on the day of the Big Game, crowded through her. She should have descended to a burst of drums or a discordant blend of themes from Thais and Carmen	She stopped at the top of the stairs. She felt all the nervous excitement of a diver before a jump, an actress on opening night, or a football player before a big game. She imagined going downstairs with a fanfare of drums or music like you'd hear in Thais and Carmen.

She had never been so curious about her appearance, she had never been so satisfied with it. She had been sixteen years old for six months	She was more aware of how she looked than ever before, and she actually liked what she saw. She'd been sixteen for half a year.

“Isabelle!” called her cousin Sally from the doorway of the dressing-room. “I’m ready	"Isabelle!" her cousin Sally yelled from the dressing room door. "I'm ready!"

She caught a slight lump of nervousness in her throat. “I had to send back to the house for another pair of slippers	She felt a little nervous. "I had to have them bring me another pair of shoes from the house."

It’ll be just a minute.” Isabelle started toward the dressing-room for a last peek in the mirror, but something decided her to stand there and gaze down the broad stairs of the Minnehaha Club	"Just a sec," Isabelle said. She started to go to the dressing room for one last look in the mirror, but then she changed her mind and just stood there, looking down the big staircase of the Minnehaha Club.

They curved tantalizingly, and she could catch just a glimpse of two pairs of masculine feet in the hall below. Pump-shod in uniform black, they gave no hint of identity, but she wondered eagerly if one pair were attached to Amory Blaine. This young man, not as yet encountered, had nevertheless taken up a considerable part of her day—the first day of her arrival	Her legs looked really good, and she could just see two guys' feet in the hallway downstairs. They were wearing shiny black dress shoes, so she couldn't tell who they were, but she really hoped one pair belonged to Amory Blaine. She hadn't met him yet, but she'd already spent a lot of time thinking about him—and it was only her first day there.

Coming up in the machine from the station, Sally had volunteered, amid a rain of question, comment, revelation, and exaggeration: “You remember Amory Blaine, of course. Well, he’s simply mad to see you again. He’s stayed over a day from college, and he’s coming tonight	Driving from the train station, Sally burst out, even though everyone was talking and asking questions: "You remember Amory Blaine, right? Well, he *really* wants to see you. He skipped a day of college just to hang out with you tonight."

He’s heard so much about you—says he remembers your eyes.” This had pleased Isabelle. It put them on equal terms, although she was quite capable of staging her own romances, with or without advance advertising. But following her happy tremble of anticipation, came a sinking sensation that made her ask: “How do you mean he’s heard about me? What sort of things?” Sally smiled	"He's heard a lot about you and says he remembers your eyes." Isabelle liked that. It made them even, even though she could totally handle starting her own relationships, with or without help. But after that initial excitement, she felt a little worried and asked, "What do you mean he's heard about me? What has he heard?" Sally smiled.

She felt rather in the capacity of a showman with her more exotic cousin. “He knows you’re—you’re considered beautiful and all that”—she paused—“and I guess he knows you’ve been kissed.” At this Isabelle’s little fist had clinched suddenly under the fur robe	She felt like she was putting her more interesting cousin on display. "He knows people think you're beautiful and everything," she hesitated, "and I guess he knows you've been kissed." Hearing this, Isabelle's small fist tightened under the fur blanket.

She was accustomed to be thus followed by her desperate past, and it never failed to rouse in her the same feeling of resentment; yet—in a strange town it was an advantageous reputation. She was a “Speed,” was she? Well—let them find out. Out of the window Isabelle watched the snow glide by in the frosty morning	She was used to her bad reputation catching up with her, and it always made her angry. Still, in a new place, being known as a "Speed" could be useful. So what if they thought she was fast? Let them figure her out. Isabelle looked out the window at the snow passing by on the cold morning.

It was ever so much colder here than in Baltimore; she had not remembered; the glass of the side door was iced, the windows were shirred with snow in the corners. Her mind played still with one subject. Did he dress like that boy there, who walked calmly down a bustling business street, in moccasins and winter-carnival costume? How very Western! Of course he wasn’t that way: he went to Princeton, was a sophomore or something. Really she had no distinct idea of him	It was way colder here than she remembered from Baltimore. The glass on the side door was covered in ice, and the windows had snow piled up in the corners. She was still thinking about the same thing. Did he dress like that guy walking confidently down the busy street in moccasins and a winter carnival outfit? So Western! Of course, he probably wasn't like that; he went to Princeton. He was a sophomore or something. She really didn't know what he was like.

An ancient snapshot she had preserved in an old kodak book had impressed her by the big eyes (which he had probably grown up to by now). However, in the last month, when her winter visit to Sally had been decided on, he had assumed the proportions of a worthy adversary. Children, most astute of matchmakers, plot their campaigns quickly, and Sally had played a clever correspondence sonata to Isabelle’s excitable temperament. Isabelle had been for some time capable of very strong, if very transient emotions	She remembered a photo from a Kodak album, especially his big eyes (which he probably doesn't have anymore). But recently, since she planned to visit Sally for the winter, she started thinking of him as someone interesting to compete with. Kids are great matchmakers and plan things fast. Sally cleverly wrote letters to get Isabelle excited. Isabelle could feel things deeply, even if those feelings didn't last long.

They drew up at a spreading, white-stone building, set back from the snowy street. Mrs. Weatherby greeted her warmly and her various younger cousins were produced from the corners where they skulked politely. Isabelle met them tactfully. At her best she allied all with whom she came in contact—except older girls and some women	They stopped in front of a large, white stone building that was set back from the snow-covered street. Mrs. Weatherby greeted Isabelle with a warm welcome, and her younger cousins were brought out from where they were quietly hiding. Isabelle was polite and friendly to them. When she was at her best, she could get along with anyone—except older girls and some women.

All the impressions she made were conscious. The half-dozen girls she renewed acquaintance with that morning were all rather impressed and as much by her direct personality as by her reputation. Amory Blaine was an open subject. Evidently a bit light of love, neither popular nor unpopular—every girl there seemed to have had an affair with him at some time or other, but no one volunteered any really useful information	She was very aware of how she came across. The girls she reconnected with that morning were pretty impressed, not just by what they'd heard about her, but by her confidence. Amory Blaine was a hot topic. Apparently, he was a bit of a player, neither super liked nor disliked. It seemed like every girl there had hooked up with him at some point, but no one was giving up any real dirt.

He was going to fall for her. Sally had published that information to her young set and they were retailing it back to Sally as fast as they set eyes on Isabelle	He knew he was going to fall in love with her. Sally had told all her friends, and they were confirming it back to Sally every time they saw Isabelle.

