ORIGINAL	TRANSLATED

How is’t, my noble lord?	How are you, my lord?

What news, my lord?	What's new, my lord?

O, wonderful!	Wow!

Good my lord, tell it.	Please, my lord, tell it.

No; you’ll reveal it.	No, you'll tell it.

Not I, my lord, by heaven.	I didn't, my lord, I swear.

Nor I, my lord.	Neither do I, my lord.

How say you, then; would heart of man once think it? But you’ll be secret?	What do you think about that? Would anyone believe it? But you'll keep it a secret, right?

MARCELLUS: Ay, by heaven, my lord.	MARCELLUS: Yes, my lord, I swear to God.

There’s ne’er a villain dwelling in all Denmark But he’s an arrant knave.	There isn't a single bad guy in all of Denmark who isn't a total scoundrel.

There needs no ghost, my lord, come from the grave To tell us this.	You don't need a ghost to come from the grave to tell us that.

Why, right; you are i’ the right; And so, without more circumstance at all, I hold it fit that we shake hands and part: You, as your business and desire shall point you; For every man has business and desire, Such as it is; and for mine own poor part, Look you, I’ll go pray.	Yes, you're right, you're absolutely right. So, without any further delay, I think it's best we shake hands and go our separate ways. You go wherever your work and wishes lead you. Everyone has work and desires of some kind. As for me, well, I'm going to go pray.

These are but wild and whirling words, my lord.	My lord, these are just crazy and rambling words.

I’m sorry they offend you, heartily; Yes, ’faith heartily.	I'm truly sorry if they upset you; yes, really truly sorry.

There’s no offence, my lord.	No offense, my lord.

Yes, by Saint Patrick, but there is, Horatio, And much offence too. Touching this vision here, It is an honest ghost, that let me tell you: For your desire to know what is between us, O’ermaster’t as you may. And now, good friends, As you are friends, scholars and soldiers, Give me one poor request.	Yes, I swear by Saint Patrick, there is something wrong, Horatio, very wrong. About this ghost we saw, I believe it's a truthful ghost, I'm telling you. As for your curiosity about what happened between us, try to control it as best you can. And now, my good friends, since you are friends, educated, and brave soldiers, grant me a small favor.

What is’t, my lord? we will.	What is it, my lord? We will.

Never make known what you have seen to-night.	Don't tell anyone what you saw tonight.

MARCELLUS: My lord, we will not.	We will not, my lord.

Nay, but swear’t.	No, really, swear it.

In faith, My lord, not I.	Honestly, my lord, not me.

Nor I, my lord, in faith.	Honestly, my lord, neither do I.

Upon my sword.	On my sword.

We have sworn, my lord, already.	We have already sworn, my lord.

Indeed, upon my sword, indeed.	Yes, I swear it.

(Beneath.) Swear.	(From under the stage.) Promise you'll do it.

Ah, ha, boy! say’st thou so? art thou there, truepenny? Come on—you hear this fellow in the cellarage— Consent to swear.	Aha, boy! You really think so? Are you there, good friend? Come on—you hear this guy in the basement— Agree to swear.

Propose the oath, my lord.	Ask them to swear, my lord.

Never to speak of this that you have seen, Swear by my sword.	Swear by my sword to never speak of what you've seen.

(Beneath.) Swear.	Swear it.

Hic et ubique? then we’ll shift our ground. Come hither, gentlemen, And lay your hands again upon my sword: Never to speak of this that you have heard, Swear by my sword.	Here and everywhere? Then we'll move somewhere else. Come here, gentlemen, and put your hands on my sword again: Swear by my sword never to talk about what you've heard.

(Beneath.) Swear.	Swear.

Well said, old mole! canst work i’ the earth so fast? A worthy pioner! Once more remove, good friends.	Good job, old mole! Can you dig in the ground that quickly? A skilled pioneer! Let's move it again, good friends.

O day and night, but this is wondrous strange!	Wow, this is incredibly strange!

And therefore as a stranger give it welcome. There are more things in heaven and earth, Horatio, Than are dreamt of in your philosophy. But come; Here, as before, never, so help you mercy, How strange or odd soe’er I bear myself, As I perchance hereafter shall think meet To put an antic disposition on, That you, at such times seeing me, never shall, With arms encumber’d thus, or this headshake, Or by pronouncing of some doubtful phrase, As “Well, well, we know,” or “We could, an if we would,” Or “If we list to speak,” or “There be, an if they might,” Or such ambiguous giving out, to note That you know aught of me: this not to do, So grace and mercy at your most need help you, Swear.	So, treat it like something new. Horatio, there are more things in the world than you can imagine. But come on. Swear to me that no matter how strange I act from now on, you will never cross your arms, shake your head, or say things like "We know," "We could if we wanted to," "If we felt like talking," or "They would if they could," or any other vague comment, to suggest you know anything about me. Swear you won’t do this, so that you will receive help when you need it most.

(Beneath.) Swear.	Swear.

Rest, rest, perturbed spirit! (They swear.) So, gentlemen, With all my love I do commend me to you: And what so poor a man as Hamlet is May do, to express his love and friending to you, God willing, shall not lack. Let us go in together; And still your fingers on your lips, I pray. The time is out of joint: O cursed spite, That ever I was born to set it right! Nay, come, let’s go together. (Exeunt.)	Be at peace, restless ghost! (They swear.) So, gentlemen, with all my love, I entrust myself to you. Anything a man as insignificant as I am can do to show my love and friendship, I will, God willing. Let’s go inside together; and please, keep your fingers on your lips. The world is out of order: Oh, what a terrible fate, that I was ever born to fix it! No, come on, let’s go together. (They exit.)

Give him this money and these notes, Reynaldo.	Give him this money and these letters, Reynaldo.

I will, my lord.	I will, sir.

You shall do marvellous wisely, good Reynaldo, Before you visit him, to make inquire Of his behavior.	You'd be very smart, good Reynaldo, to ask around about his behavior before you go see him.

My lord, I did intend it.	My lord, that was my intention.

Marry, well said; very well said. Look you, sir, Inquire me first what Danskers are in Paris; And how, and who, what means, and where they keep, What company, at what expense; and finding By this encompassment and drift of question That they do know my son, come you more nearer Than your particular demands will touch it: Take you, as ’twere, some distant knowledge of him; As thus, “I know his father and his friends, And in part him:” do you mark this, Reynaldo?	Indeed, well spoken; very well spoken. Listen, sir, first find out what Danes are in Paris; how they are doing, who they are, what money they have, and where they live, what company they keep, and how much it costs them. If you discover through this roundabout and careful questioning that they know my son, approach the subject more indirectly than directly asking about him. Pretend you have some slight acquaintance with him, like saying, "I know his father and his friends, and I know him a little." Do you understand this, Reynaldo?

Ay, very well, my lord.	Yes, very well, my lord.

“And in part him; but” you may say “not well: But, if’t be he I mean, he’s very wild; Addicted so-and-so:” and there put on him What forgeries you please; marry, none so rank As may dishonour him; take heed of that; But, sir, such wanton, wild and usual slips As are companions noted and most known To youth and liberty.	Say that you know him somewhat, but not well. But if it's the man I mean, he's very reckless and has these habits: Then, add whatever lies you want, but nothing so awful that it ruins his reputation. Be careful about that. But, sir, mention the kind of careless, wild, and common mistakes that are typical of young men enjoying their freedom.

As gaming, my lord.	Like gambling, my lord.

Ay, or drinking, fencing, swearing, quarrelling, Drabbing: you may go so far.	Yes, or drinking, fighting, cursing, arguing, whoring: you can go that far.

My lord, that would dishonour him.	My lord, that would shame him.

’Faith, no; as you may season it in the charge. You must not put another scandal on him, That he is open to incontinency; That’s not my meaning: but breathe his faults so quaintly That they may seem the taints of liberty, The flash and outbreak of a fiery mind, A savageness in unreclaimed blood, Of general assault.	No, really; be careful how you accuse him. Don't add another accusation that he's sexually loose. That's not what I mean. But describe his faults so cleverly that they seem like the result of freedom, the impulsive actions of a passionate person, a wildness in untamed youth that everyone experiences.

But, my good lord—	But, sir—

Wherefore should you do this?	Why would you do this?

Ay, my lord, I would know that.	Yes, my lord, I want to know that.

Marry, sir, here’s my drift; And, I believe, it is a fetch of wit: You laying these slight sullies on my son, As ’twere a thing a little soil’d i’ the working, Mark you, Your party in converse, him you would sound, Having ever seen in the prenominate crimes The youth you breathe of guilty, be assured He closes with you in this consequence; “Good sir,” or so, or “friend,” or “gentleman,” According to the phrase or the addition Of man and country.	Indeed, sir, here’s what I'm getting at; and I think it’s quite clever: You are putting these small stains on my son, as if he’s slightly flawed, understand? You want to gauge his friends in conversation, those you would test. If they have ever seen my son commit these alleged crimes you’re talking about, be sure he'll agree with you; saying "Good sir," or something like that, or "friend," or "gentleman," depending on how they usually address someone of that rank and from that country.

Very good, my lord.	Okay, my lord.

And then, sir, does he this—he does—what was I about to say? By the mass, I was about to say something: where did I leave?	And then, sir, he does this—he does—what was I going to say? Honestly, I was about to say something: where was I?

At “closes in the consequence,” at “friend or so,” and “gentleman.”	When he thinks about the results, about a friend or two, and about being a gentleman.

At “closes in the consequence,” ay, marry; He closes thus: “I know the gentleman; I saw him yesterday, or t’ other day, Or then, or then; with such, or such; and, as you say, There was a’ gaming; there o’ertook in’s rouse; There falling out at tennis:” or perchance, “I saw him enter such a house of sale,” Videlicet, a brothel, or so forth. See you now; Your bait of falsehood takes this carp of truth: And thus do we of wisdom and of reach, With windlasses and with assays of bias, By indirections find directions out: So by my former lecture and advice, Shall you my son. You have me, have you not?	Yes, it "adds up," definitely. He says things like: "I know the guy; I saw him yesterday, or the day before, or sometime around then; with these people; and like you said, there was gambling; he got drunk; they argued at tennis:" or maybe, "I saw him go into a house of, let's say, a brothel, or something similar." See? Your little lie catches this big truth. And that's how we clever and insightful people, with roundabout methods and calculated risks, find things out indirectly. So, follow my previous instruction and advice, and you will too, my son. Do you understand me?

My lord, I have.	Yes, my lord.

God be wi’ you; fare you well.	Goodbye, and take care.

Good my lord!	My good lord!

Observe his inclination in yourself.	Figure out what he likes by watching yourself.

I shall, my lord.	I will, my lord.

And let him ply his music.	Let him play his music.

Well, my lord.	Yes, my lord.

Farewell! (Exit Reynaldo.)	Goodbye! (Reynaldo leaves.)

How now, Ophelia! what’s the matter?	Hey, Ophelia! What's wrong?

O, my lord, my lord, I have been so affrighted!	Oh, my lord, my lord, I have been so frightened!

With what, i’ the name of God?	What in God's name?

My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced; No hat upon his head; his stockings foul’d, Ungarter’d, and down-gyved to his ankle; Pale as his shirt; his knees knocking each other; And with a look so piteous in purport As if he had been loosed out of hell To speak of horrors—he comes before me.	My lord, I was sewing in my room when Lord Hamlet appeared. His jacket was open, he wasn't wearing a hat, his stockings were dirty, and had fallen down around his ankles. He was as pale as his shirt, his knees were knocking together, and he looked so miserable, as if he'd just escaped from hell to tell me about terrible things. He came before me.

Mad for thy love?	Crazy because of my love for you?

My lord, I do not know; But truly, I do fear it.	My lord, I don't know, but I'm really afraid so.

What said he?	What did he say?

He took me by the wrist and held me hard; Then goes he to the length of all his arm; And, with his other hand thus o’er his brow, He falls to such perusal of my face As he would draw it. Long stay’d he so; At last, a little shaking of mine arm And thrice his head thus waving up and down, He raised a sigh so piteous and profound As it did seem to shatter all his bulk And end his being: that done, he lets me go: And, with his head over his shoulder turn’d, He seem’d to find his way without his eyes; For out o’ doors he went without their helps, And, to the last, bended their light on me.	He grabbed my wrist and held it tightly. Then he stepped back as far as his arm could reach. With his other hand over his forehead, he stared at my face as if he were trying to memorize it. He stayed like that for a long time. Finally, after shaking my arm slightly and shaking his head up and down three times, he let out such a deep and sorrowful sigh that it seemed to shake his whole body and almost kill him. After doing that, he let me go. Then, with his head turned over his shoulder, he seemed to be finding his way without looking, because he went out the door without using his eyes and, until the very end, kept his gaze fixed on me.

Come, go with me: I will go seek the king. This is the very ecstasy of love, Whose violent property fordoes itself And leads the will to desperate undertakings As oft as any passion under heaven That does afflict our natures. I am sorry. What, have you given him any hard words of late?	Come, go with me. I'll go find the king. This is definitely madness caused by love, which destroys itself with its own intensity, and drives people to desperate actions as often as any strong emotion does. I'm sorry to see this. Have you been harsh with him recently?

No, my good lord, but, as you did command, I did repel his letters and denied His access to me.	No, my lord, as you ordered, I refused to accept his letters and would not allow him to see me.

That hath made him mad. I am sorry that with better heed and judgment I had not quoted him: I fear’d he did but trifle, And meant to wreck thee; but, beshrew my jealousy! By heaven, it is as proper to our age To cast beyond ourselves in our opinions As it is common for the younger sort To lack discretion. Come, go we to the king: This must be known; which, being kept close, might move More grief to hide than hate to utter love. (Exeunt.) 	That has driven him crazy. I regret that I didn't pay closer attention to him and understand him better. I thought he was just fooling around and intended to harm you, but damn my suspicion! By heaven, it's as typical of people our age to overestimate our own judgment as it is common for young people to lack good sense. Come, let's go to the king. He must know about this; keeping it a secret could cause more pain than speaking about our love.

Welcome, dear Rosencrantz and Guildenstern! Moreover that we much did long to see you, The need we have to use you did provoke Our hasty sending. Something have you heard Of Hamlet’s transformation; so call it, Sith nor the exterior nor the inward man Resembles that it was. What it should be, More than his father’s death, that thus hath put him So much from the understanding of himself, I cannot dream of: I entreat you both, That, being of so young days brought up with him, And sith so neighbour’d to his youth and havior, That you vouchsafe your rest here in our court Some little time: so by your companies To draw him on to pleasures, and to gather, So much as from occasion you may glean, Whether aught, to us unknown, afflicts him thus, That, open’d, lies within our remedy.	Welcome, Rosencrantz and Guildenstern! Besides that we wanted to see you, our need for your help made us send for you so quickly. You've probably heard about Hamlet's change; we'll call it that, since he doesn't seem like himself, inside or out. I can't imagine what, other than his father's death, could have made him so unlike himself. I ask you both, since you grew up with him and know him so well, to stay here at court for a while. Try to get him to enjoy himself through your company, and find out anything you can about what might be bothering him that we don't know. If we know what it is, maybe we can fix it.

Good gentlemen, he hath much talk’d of you; And sure I am two men there are not living To whom he more adheres. If it will please you To show us so much gentry and good will As to expend your time with us awhile, For the supply and profit of our hope, Your visitation shall receive such thanks As fits a king’s remembrance.	Good sirs, he has spoken of you often; and I'm certain there aren't two men alive he's closer to. If you would be so kind as to spend some time with us, to help us with what we hope to achieve, your visit will be rewarded with thanks a king would remember.

Both your majesties Might, by the sovereign power you have of us, Put your dread pleasures more into command Than to entreaty.	Your Majesties could, by the authority you have over us, order us to do what you want rather than just asking.

But we both obey, And here give up ourselves, in the full bent To lay our service freely at your feet, To be commanded.	We both agree to obey, and we fully intend to offer our services freely to you, to be commanded.

Thanks, Rosencrantz and gentle Guildenstern.	Thank you, Rosencrantz and dear Guildenstern.

Thanks, Guildenstern and gentle Rosencrantz: And I beseech you instantly to visit My too much changed son. Go, some of you, And bring these gentlemen where Hamlet is.	Thank you, Guildenstern and good Rosencrantz. Please go right away and visit my son, who is very much changed. Some of you, go and take these gentlemen to where Hamlet is.

Heavens make our presence and our practices Pleasant and helpful to him!	May God make our being here and what we do a comfort and help to him!

Ay, amen! (Exeunt Rosencrantz, Guildenstern, and some Attendants.)	Yes, amen! (Rosencrantz, Guildenstern, and some servants exit.)

The ambassadors from Norway, my good lord, Are joyfully return’d.	The messengers from Norway, sir, have happily returned.

Thou still hast been the father of good news.	You've always brought good news.

Have I, my lord? I assure my good liege, I hold my duty, as I hold my soul, Both to my God and to my gracious king: And I do think, or else this brain of mine Hunts not the trail of policy so sure As it hath used to do, that I have found The very cause of Hamlet’s lunacy.	Have I? I assure you, my good king, I am as loyal as I am to my own soul, both to God and to you. And I think, unless my mind is failing me, I have figured out the real reason for Hamlet's madness.

O, speak of that; that do I long to hear.	Oh, tell me about that; that's what I'm eager to hear.

Give first admittance to the ambassadors; My news shall be the fruit to that great feast.	Let the ambassadors in first; my news will be the dessert after that main course.

Thyself do grace to them, and bring them in. (Exit Polonius.) He tells me, my dear Gertrude, he hath found The head and source of all your son’s distemper.	Do the polite thing and bring them in. (Polonius exits.) He tells me, my dear Gertrude, that he has found the cause and origin of your son’s madness.

I doubt it is no other but the main; His father’s death, and our o’erhasty marriage.	I'm sure it's for no other reason than the obvious ones: his father's death and our too-quick marriage.

Well, we shall sift him.	Okay, we'll investigate him.

Welcome, my good friends! Say, Voltimand, what from our brother Norway?	Hello, my good friends! Tell me, Voltimand, what news from our brother, the King of Norway?

Most fair return of greetings and desires. Upon our first, he sent out to suppress His nephew’s levies; which to him appear’d To be a preparation ’gainst the Polack; But, better look’d into, he truly found It was against your highness: whereat grieved, That so his sickness, age and impotence Was falsely borne in hand, sends out arrests On Fortinbras; which he, in brief, obeys; Receives rebuke from Norway, and in fine Makes vow before his uncle never more To give the assay of arms against your majesty. Whereon old Norway, overcome with joy, Gives him three thousand crowns in annual fee, And his commission to employ those soldiers, So levied as before, against the Polack: With an entreaty, (Giving a paper.) That it might please you to give quiet pass Through your dominions for this enterprise, On such regards of safety and allowance As therein are set down.	He returned our greetings and requests very kindly. Initially, he sent troops to stop his nephew's army, which he thought was preparing for war against Poland. But after investigating more closely, he realized it was actually aimed at you, your Majesty. Upset that his illness, age, and weakness were being exploited, he ordered Fortinbras's arrest. Fortinbras quickly obeyed, was scolded by the King of Norway, and finally swore to his uncle never to attack you again. Overjoyed, the old King of Norway gave Fortinbras three thousand crowns a year and permission to use the same soldiers he had gathered earlier against Poland, with a request (handing over a document) that you would allow them safe passage through your lands for this campaign, under the conditions of safety and agreement written here.

It likes us well; And at our more consider’d time well read, Answer, and think upon this business. Meantime we thank you for your well-took labour: Go to your rest; at night we’ll feast together: Most welcome home! (Exeunt Voltimand and Cornelius.)	This pleases us. When we've had more time to carefully read and consider it, we'll respond and make a decision about this matter. In the meantime, we thank you for your well-executed efforts. Go get some rest; tonight we'll celebrate together. Welcome home!

This business is well ended. My liege, and madam, to expostulate What majesty should be, what duty is, Why day is day, night night, and time is time, Were nothing but to waste night, day and time. Therefore, since brevity is the soul of wit, And tediousness the limbs and outward flourishes, I will be brief: your noble son is mad: Mad call I it; for, to define true madness, What is’t but to be nothing else but mad? But let that go.	This matter is finished well. Your Majesty, and Madam, to explain what royalty should be, what loyalty is, why day is day, night is night, and time is time, would only waste night, day, and time. Therefore, since being brief is the essence of intelligence, and being long-winded is just extra and unnecessary, I will be brief: your son is mad. I call it madness because, to define real madness, what is it other than simply being mad? But never mind that.

More matter, with less art.	Get to the point.

Madam, I swear I use no art at all. That he is mad, ’tis true: ’tis true ’tis pity; And pity ’tis ’tis true: a foolish figure; But farewell it, for I will use no art. Mad let us grant him, then: and now remains That we find out the cause of this effect, Or rather say, the cause of this defect, For this effect defective comes by cause: Thus it remains, and the remainder thus. Perpend. I have a daughter—have while she is mine— Who, in her duty and obedience, mark, Hath given me this: now gather, and surmise. (Reads.) “To the celestial and my soul’s idol, the most beautified Ophelia,”—	Madam, I swear I'm not using any trickery. It's true he's mad, it's true, and it's a shame; and it's a shame it's true – a silly way of speaking, but forget it, I won't use any trickery. Let's agree he's mad, then. Now we need to find the cause of this, or rather, the reason for this problem, because this flawed result has a cause. That's the situation, and the solution is this. Consider this carefully. I have a daughter—for now, she is mine—who, being dutiful and obedient, listen, has given me this. Now consider and guess. (Reads.) "To the heavenly and adored Ophelia,"—

That’s an ill phrase, a vile phrase; “beautified” is a vile phrase: but you shall hear. Thus: (Reads.) “In her excellent white bosom, these, etc.”	That's a bad choice of words, a disgusting choice of words; "beautified" is a disgusting word. But listen to this. Like this: (Reads.) "On her wonderfully white chest, this..."

Came this from Hamlet to her?	Did this come from Hamlet to her?

Good madam, stay awhile; I will be faithful. (Reads.) “Doubt thou the stars are fire; Doubt that the sun doth move; Doubt truth to be a liar; But never doubt I love.	Please wait a moment, madam. I will be true to my word. (Reads.) "Question whether the stars are fire; Question whether the sun moves; Question whether truth is a lie; But never question my love."

“O dear Ophelia, I am ill at these numbers; I have not art to reckon my groans: but that I love thee best, O most best, believe it. Adieu. “Thine evermore most dear lady, whilst this machine is to him, Hamlet.”	"Oh, dear Ophelia, I'm bad at expressing myself in verse. I can't even count all my sighs of sorrow. But believe me, I love you more than anything, more than anything in the world. Goodbye. Yours forever, my dearest lady, as long as I live, Hamlet."

This, in obedience, hath my daughter shown me, And more above, hath his solicitings, As they fell out by time, by means and place, All given to mine ear.	My daughter showed me this out of obedience. Furthermore, she told me about his attempts to win her over, describing how they happened over time, through different methods, and in various locations – she told me everything.

But how hath she Received his love?	But how did she react to his love?

What do you think of me?	What do you think of me?

As of a man faithful and honourable.	Like someone loyal and respectable.

I would fain prove so. But what might you think, When I had seen this hot love on the wing— As I perceived it, I must tell you that, Before my daughter told me—what might you, Or my dear majesty your queen here, think, If I had play’d the desk or table-book, Or given my heart a winking, mute and dumb, Or look’d upon this love with idle sight; What might you think? No, I went round to work, And my young mistress thus I did bespeak: “Lord Hamlet is a prince, out of thy star; This must not be:” and then I precepts gave her, That she should lock herself from his resort, Admit no messengers, receive no tokens. Which done, she took the fruits of my advice; And he, repulsed—a short tale to make— Fell into a sadness, then into a fast, Thence to a watch, thence into a weakness, Thence to a lightness, and, by this declension, Into the madness wherein now he raves, And all we mourn for.	I'd like to be proven right. But what would you have thought if, after I saw this passionate love taking flight—and I noticed it, I must tell you, before my daughter did—what would you, or my dear queen, your wife, have thought if I had acted like an unfeeling object, ignored my feelings, or simply watched this love idly? What would you have thought? No, I took immediate action and said to my young daughter, "Lord Hamlet is a prince beyond your reach; this cannot be." And then I instructed her to isolate herself from him, refuse any messengers, and accept no gifts. After she did this, she followed my advice; and Hamlet, rejected—to cut a long story short—fell into sadness, then stopped eating, then stayed awake all night, then became weak, then delirious, and, through this decline, into the madness he now suffers from, which we are all grieving.

Do you think ’tis this?	Do you think it's this?

It may be, very likely.	That's possible, very likely.

Hath there been such a time—I’d fain know that— That I have positively said “ ’Tis so,” When it proved otherwise?	Has there ever been a time—I really want to know—that I have definitely said, "It is so," when it turned out to be wrong?

Not that I know.	As far as I know, no.

(Pointing to his head and shoulder.) Take this from this, if this be otherwise: If circumstances lead me, I will find Where truth is hid, though it were hid indeed Within the centre.	If I'm wrong, take my head from my shoulders. If the situation guides me, I will find the truth, even if it's hidden at the earth's core.

How may we try it further?	How else can we test it?

You know, sometimes he walks four hours together Here in the lobby.	You know, sometimes he walks back and forth in the lobby for four hours straight.

So he does indeed.	Yes, that's true.

At such a time I’ll loose my daughter to him: Be you and I behind an arras then; Mark the encounter: if he love her not And be not from his reason fall’n thereon, Let me be no assistant for a state, But keep a farm and carters.	I'll let my daughter meet with him then. You and I will hide behind a curtain and watch them. If he doesn't love her, and his madness isn't caused by her, then I'm not fit to advise the king, and I should just go back to farming.

We will try it.	We'll give it a shot.

But, look, where sadly the poor wretch comes reading.	But look, here comes that miserable fellow, reading sadly.

Away, I do beseech you, both away: I’ll board him presently. (Exeunt King, Queen, and Attendants.)	Please, both of you, leave now! I'll go talk to him right away. (King, Queen, and Attendants exit.)

O, give me leave: How does my good Lord Hamlet?	Please, tell me: How is my good Lord Hamlet doing?

Well, God-a-mercy.	Well, God have mercy.

Do you know me, my lord?	Do you recognize me, sir?

Excellent well; you are a fishmonger.	Okay, fine; you're a fish seller.

Not I, my lord.	No, sir.

Then I would you were so honest a man.	I wish you were that honest.

Honest, my lord!	Truly, my lord!

Ay, sir; to be honest, as this world goes, is to be one man picked out of ten thousand.	Yes, sir; in today's world, being honest is being one in ten thousand.

That’s very true, my lord.	That's very true, sir.

For if the sun breed maggots in a dead dog, being a god kissing carrion—Have you a daughter?	Because if the sun can create maggots in a dead dog—even though it's like a god touching rotting flesh—do you have a daughter?

I have, my lord.	Yes, sir.

Let her not walk i’ the sun: conception is a blessing: but not as your daughter may conceive. Friend, look to’t.	Don't let her go out in the sun. Having children is a blessing, but not if your daughter has one. Friend, take care of this.

(Aside.) How say you by that? Still harping on my daughter: yet he knew me not at first; he said I was a fishmonger: he is far gone, far gone: and truly in my youth I suffered much extremity for love; very near this. I’ll speak to him again. What do you read, my lord?	(To himself.) What do you think of that? He keeps obsessing about my daughter. Yet he didn't recognize me at first; he called me a fish seller. He's really lost it, completely gone. And honestly, when I was young, I suffered a lot for love, almost as much as he is. I'll talk to him again. What are you reading, my lord?

Words, words, words.	Just words, words, words.

What is the matter, my lord?	What's wrong, my lord?

Between who?	Between whom?

I mean, the matter that you read, my lord.	I'm talking about what you're reading, sir.

Slanders, sir: for the satirical rogue says here that old men have grey beards, that their faces are wrinkled, their eyes purging thick amber and plum-tree gum and that they have a plentiful lack of wit, together with most weak hams: all which, sir, though I most powerfully and potently believe, yet I hold it not honesty to have it thus set down, for yourself, sir, should be old as I am, if like a crab you could go backward.	Insults, sir. This sarcastic guy writes here that old men have grey beards, wrinkled faces, eyes that drip thick yellow and dark goo, and that they're basically clueless and have really weak legs. I totally believe this is true, but I don't think it's right to write it down like this, because you yourself will be as old as me eventually... unless you can age backwards like a crab.

(Aside.) Though this be madness, yet there is method in’t. Will you walk out of the air, my lord?	(To himself.) Even though he seems crazy, there's a reason for what he's doing. Would you like to step out of the cold air, my lord?

Into my grave.	To my death.

Indeed, that is out o’ the air. (Aside.) How pregnant sometimes his replies are! a happiness that often madness hits on, which reason and sanity could not so prosperously be delivered of. I will leave him, and suddenly contrive the means of meeting between him and my daughter.—My honourable lord, I will most humbly take my leave of you.	That's beside the point. (To himself.) How full of meaning his answers are sometimes! It's lucky madness can achieve insights that reason and sanity couldn't produce so well. I'll leave him now and quickly arrange a meeting between him and my daughter. My lord, I'll take my leave.

You cannot, sir, take from me any thing that I will more willingly part withal: except my life, except my life, except my life.	Sir, you can't take anything from me that I wouldn't gladly give up, except my life, except my life, except my life.

Fare you well, my lord.	Goodbye, my lord.

These tedious old fools!	These boring old idiots!

You go to seek the Lord Hamlet; there he is.	You're looking for Prince Hamlet; he's over there.

(To Polonius.) God save you, sir! (Exit Polonius.)	(To Polonius.) Good day to you, sir! (Exit Polonius.)

My honoured lord!	My lord!

My most dear lord!	My dearest lord!

My excellent good friends! How dost thou, Guildenstern? Ah, Rosencrantz! Good lads, how do ye both?	My very good friends! How are you, Guildenstern? Ah, Rosencrantz! Good fellows, how are you both doing?

As the indifferent children of the earth.	Like ordinary people.

Happy, in that we are not over-happy; On fortune’s cap we are not the very button.	We're lucky because we're not too lucky; we're not at the very top of the wheel of fortune.

Nor the soles of her shoe?	Not even the bottoms of her shoes?

Neither, my lord.	No, sir.

Then you live about her waist, or in the middle of her favours?	So, you're always around her, or always trying to get on her good side?

’Faith, her privates we.	Indeed, we are her close friends.

In the secret parts of fortune? O, most true; she is a strumpet. What’s the news?	In the hidden workings of luck? Oh, that's so right; luck is a whore. What's new?

None, my lord, but that the world’s grown honest.	No, my lord, just that everyone's become honest.

Then is doomsday near: but your news is not true. Let me question more in particular: what have you, my good friends, deserved at the hands of fortune, that she sends you to prison hither?	Then the end of the world must be close, but your news can't be true. Let me ask more specifically: what have you, my good friends, done to deserve such bad luck that it lands you in prison here?

Prison, my lord!	Yes, my lord, a prison!

Denmark’s a prison.	Denmark is a prison.

Then is the world one.	Then everything is in agreement.

A goodly one; in which there are many confines, wards and dungeons, Denmark being one o’ the worst.	A nice one, really; full of borders, prisons, and cells. And Denmark is one of the worst.

We think not so, my lord.	We don't think so, sir.

Why, then, ’tis none to you; for there is nothing either good or bad, but thinking makes it so: to me it is a prison.	Well, then it isn't anything to you. Nothing is really good or bad; we just think it is. But to me, it feels like a prison.

Why then, your ambition makes it one; ’tis too narrow for your mind.	Well then, your ambition makes it a prison; it's too small for your mind.

O God, I could be bounded in a nut-shell and count myself a king of infinite space, were it not that I have bad dreams.	Oh God, I could be happy in a tiny space and feel like I rule the world, if I didn't have nightmares.

Which dreams indeed are ambition, for the very substance of the ambitious is merely the shadow of a dream.	These dreams are really ambition itself, because what ambitious people are made of is just the shadow of a dream.

A dream itself is but a shadow.	A dream is just a shadow.

Truly, and I hold ambition of so airy and light a quality that it is but a shadow’s shadow.	Honestly, I think ambition is so insubstantial and fleeting that it's just a shadow of a shadow.

Then are our beggars bodies, and our monarchs and outstretched heroes the beggars’ shadows. Shall we to the court? for, by my fay, I cannot reason.	Then our beggars are real, and our kings and fallen heroes are just shadows of beggars. Shall we go to the court? Because, honestly, I can't think straight.

We’ll wait upon you.	We will wait for you.

We’ll wait upon you.	We'll wait for you.

No such matter: I will not sort you with the rest of my servants, for, to speak to you like an honest man, I am most dreadfully attended. But, in the beaten way of friendship, what make you at Elsinore?	That's not the case. I won't put you in the same category as my other servants, because, to be honest, I have a terrible entourage. But, as a friend, what are you doing in Elsinore?

To visit you, my lord; no other occasion.	Just to see you, my lord; for no other reason.

Beggar that I am, I am even poor in thanks; but I thank you: and sure, dear friends, my thanks are too dear a halfpenny. Were you not sent for? Is it your own inclining? Is it a free visitation? Come, deal justly with me: come, come; nay, speak.	Even though I'm a beggar, I can't even find the words to thank you properly, but I do thank you. And honestly, dear friends, my thanks aren't worth even a tiny amount. Were you asked to come here? Or did you come on your own? Is this a voluntary visit? Please, be honest with me. Come on, tell me the truth.

